config_id,stl_ok,watertight,stl_path,vol_raw_mm3,mass_kg,mass_g,com_x_mm,com_y_mm,com_z_mm,ixx_com,iyy_com,izz_com,ixx,iyy,izz,ixy,ixz,iyz,izz_com_correction_kg_m2,radius_gyration_m,izz_regressed,izz_regression_slope,izz_regression_intercept,frontal_area_m2
0,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_0.stl,18022.5358,0.01798288,17.98288,-0.001814,-0.003398,0.484591,1.77928e-05,1.77923e-05,3.55012e-05,1.7797e-05,1.77965e-05,3.55012e-05,-7e-10,0.0,1e-10,0.0,0.0444316072,3.502987965390527e-05,0.9310026015706234,1.9781700950262593e-06,0.0140971
1,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_1.stl,12915.02,0.0128866,12.8866,0.001283,-0.000143,0.957505,1.63196e-05,1.63205e-05,3.25655e-05,1.63314e-05,1.63323e-05,3.25655e-05,1e-10,-0.0,-0.0,0.0,0.0502700873,3.2296735316474394e-05,0.9310026015706234,1.9781700950262593e-06,0.01197436
2,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_2.stl,27613.553,0.02755279,27.55279,0.000323,-0.00109,1.34027,4.05671e-05,4.05661e-05,8.10005e-05,4.06166e-05,4.06156e-05,8.10005e-05,-1.4e-09,-1e-10,-0.0,0.0,0.0542201915,7.738984632354754e-05,0.9310026015706234,1.9781700950262593e-06,0.02073124
3,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_3.stl,20942.5391,0.02089646,20.89646,-0.000228,0.000181,0.802901,2.42524e-05,2.42524e-05,4.83933e-05,2.42658e-05,2.42658e-05,4.83933e-05,1e-10,0.0,0.0,0.0,0.0481233805,4.7032458293613914e-05,0.9310026015706234,1.9781700950262593e-06,0.01430824
4,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_4.stl,14478.9471,0.01444709,14.44709,-0.000199,-0.000268,0.447587,1.58074e-05,1.58074e-05,3.15834e-05,1.58103e-05,1.58103e-05,3.15834e-05,1e-10,-0.0,0.0,0.0,0.0467561888,3.1382397661471886e-05,0.9310026015706234,1.9781700950262593e-06,0.01452099
5,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_5.stl,20366.5557,0.02032174,20.32174,-0.002109,-0.003925,0.867077,2.26584e-05,2.26567e-05,4.52188e-05,2.26737e-05,2.26719e-05,4.52188e-05,-1.6e-09,1e-10,2e-10,0.0,0.0471714104,4.407699053492797e-05,0.9310026015706234,1.9781700950262593e-06,0.01583052
6,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_6.stl,18169.5163,0.01812953,18.12953,0.00027,-6.7e-05,0.529012,2.1119e-05,2.11178e-05,4.21824e-05,2.11241e-05,2.11229e-05,4.21824e-05,0.0,0.0,0.0,0.0,0.0482361062,4.1250094235518924e-05,0.9310026015706234,1.9781700950262593e-06,0.01813868
7,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_7.stl,15704.8458,0.01567029,15.67029,-0.000523,-0.000202,0.664662,2.20625e-05,2.20621e-05,4.40782e-05,2.20694e-05,2.2069e-05,4.40782e-05,0.0,0.0,0.0,0.0,0.0530363217,4.301508896757651e-05,0.9310026015706234,1.9781700950262593e-06,0.01719658
8,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_8.stl,20209.2966,0.02016483,20.16483,-0.00193,-0.001918,1.304728,3.41438e-05,3.41439e-05,6.82141e-05,3.41782e-05,3.41782e-05,6.82141e-05,-9e-10,1e-10,1e-10,0.0,0.0581620566,6.548567465882491e-05,0.9310026015706234,1.9781700950262593e-06,0.01959895
9,True,False,c:\Users\hecto\Desktop\bachelor-thesis\IDEAL-Final-Pipeline\stl\prop_9.stl,19888.6191,0.01984485,19.84485,0.000201,-0.000611,0.337483,3.089e-05,3.08883e-05,6.17334e-05,3.08922e-05,3.08906e-05,6.17334e-05,6e-10,-0.0,0.0,0.0,0.0557745456,5.9452126098826184e-05,0.9310026015706234,1.9781700950262593e-06,0.01959895
