config_id,naca_inner,naca_hub,naca_s1,naca_s2,naca_s3,naca_s4,naca_s5,naca_s6,naca_outer,naca_mid
0,0021,0020,0019,0016,0014,1512,1509,1607,1606,1512
1,6317,6316,6416,7414,7513,8611,8610,9709,9708,7513
2,5624,5623,5622,6520,6518,7416,7415,8313,8312,6521
3,6722,6721,5720,5617,4615,3612,3509,2507,2506,4615
4,8523,8523,7523,6522,5522,4621,2621,2620,1620,3621
5,1224,1224,2224,3224,3224,4324,5324,6324,6324,4324
6,0021,0020,1619,1617,2615,3513,3512,4510,4509,1618
7,6823,6822,5821,5719,4717,3615,3614,2512,2511,4717
8,2617,2617,3517,4517,5417,6317,8317,8217,9217,5417
9,1817,1817,1817,1817,1817,2717,2717,2717,2717,2717
10,1520,1520,2519,3418,4417,5416,7314,7314,8313,6415
11,7522,7521,7521,6519,6518,6616,5615,5614,5613,6617
12,1219,1219,1218,2217,2217,3316,3315,4314,4314,2218
13,7822,7821,7821,7719,7718,8716,8615,8614,8613,8717
14,8224,8223,7222,6220,5217,4215,3213,3211,2210,6219
15,0017,1517,1517,2517,3517,4516,6516,6516,7516,2517
16,2823,2822,3821,3719,4717,5715,5614,6612,6611,3719
17,3619,3619,4518,5517,6417,7316,8315,8214,9214,6416
18,5518,5518,5517,4616,4615,3714,3713,2813,2812,3715
19,2221,2221,2321,2421,2521,2621,2721,2721,2821,2421
20,0020,0019,0018,0017,0015,1513,1511,1510,1509,0015
21,8423,8423,8422,8521,8520,8519,8618,8618,8617,8520
22,7724,7723,7722,7619,7617,8615,8512,8510,8509,7620
23,9824,9823,9723,8621,8520,8418,7317,7316,7215,8519
24,7823,7822,6821,5720,5718,4716,3614,2613,2612,6720
25,1320,1320,1320,1319,1319,2319,2318,2318,2318,2319
26,5523,5522,4522,4521,3520,2519,2517,1517,1516,3520
27,2517,2517,2517,1517,1517,1616,0016,0016,0016,1517
28,4621,4620,4620,5519,5518,5517,6416,6415,6414,4619
29,5820,5820,5720,6719,6619,7519,7518,8418,8418,6619
30,7620,7619,6618,5517,5515,4514,3412,2411,2410,6517
31,8421,8421,8420,7519,7518,6617,6615,5715,5714,6616
32,5724,5723,5722,4719,4716,4814,3811,3809,3808,4815
33,6523,6523,5523,4523,4523,3522,2522,1522,1522,5523
34,5315,5315,5314,6313,6313,6412,7411,7410,7410,6412
35,1618,1618,1618,1617,1617,2517,2516,2516,2516,1617
36,4317,4317,4417,4417,4517,5616,5616,5716,5716,4417
37,6324,6324,6324,6323,6323,7422,7422,7421,7421,7422
38,3822,3821,4820,4718,5716,6614,6613,7511,7510,4719
39,0024,0024,0023,1522,1521,2420,2318,3218,3217,2420
40,9624,9624,8624,7623,6623,5523,3522,3522,2522,6623
41,0015,0015,0014,1513,1513,1612,2711,2810,2810,1414
42,3720,3719,3719,3717,3716,3714,3713,3712,3711,3715
43,9817,8817,8817,7716,5716,4715,3615,2614,1614,6716
44,6524,6523,6523,5522,5521,5620,4618,4618,4617,5521
45,0020,0019,0019,1517,1515,2614,2612,3711,3710,1515
46,5224,5224,4223,3321,3320,2419,1418,0017,0016,3320
47,2323,2322,3321,4419,5417,6515,8514,8612,9611,6516
48,9524,9524,8524,7423,7423,6323,5322,4222,4222,8423
49,5220,5220,5319,5317,5416,5515,5514,5613,5612,5515
50,2421,2421,3421,4421,4421,5420,6420,7420,7420,4421
51,8419,8419,8419,8418,8418,8517,8517,8516,8516,8517
52,1424,1423,1522,2520,2618,2615,3713,3811,3810,2616
53,9420,9419,9418,8517,8515,7514,7612,6611,6610,8517
54,0018,0018,1417,2416,3415,4314,6313,6313,7312,3416
55,3624,3624,3624,3624,3624,2624,2624,2624,2624,3624
56,7323,7323,6423,6423,5523,4623,4623,3723,3723,4623
57,3522,3521,4520,5518,5516,6414,7413,8411,8410,4519
58,2513,2513,2513,1613,1613,1612,0012,0012,0012,1613
59,2721,2721,3721,4620,4620,5520,6519,7419,7419,3620
