config_id,qprop_ok,T_hover,P_hover,RPM_hover,CT_hover,CP_hover,FOM_hover,FOM_max,RPM_FOM_max,T_FOM_max,P_FOM_max,eta_max,V_eta_max,RPM_eta_max,T_eta_max,P_eta_max
0,True,0.2447,1.231,4000.0,0.0382,0.00695,0.53702,0.58385,6500.0,0.6493,4.894,0.27233,3.5,6500.0,0.3194,4.105
1,False,,,,,,,,,,,,,,,
2,True,0.5363,5.258,4000.0,0.03878,0.01135,0.33655,0.39175,6500.0,1.434,19.75,0.10089,3.0,6500.0,1.018,30.27
3,True,0.3899,2.031,4000.0,0.06086,0.01147,0.65466,0.68399,6500.0,1.033,8.383,0.3208,4.0,6500.0,0.6153,7.672
4,True,0.05877,0.5428,4000.0,0.008638,0.002843,0.14121,0.19442,6500.0,0.1574,1.728,0.06392,1.5,6500.0,0.08565,2.01
5,True,0.2206,1.685,4000.0,0.02722,0.007091,0.31663,0.36961,6500.0,0.5889,6.296,0.2795,4.0,6500.0,0.318,4.551
6,True,0.1793,2.544,4000.0,0.01679,0.007582,0.14343,0.17746,6500.0,0.4806,9.023,0.04069,2.0,6500.0,0.2844,13.98
7,True,0.1782,0.962,4000.0,0.01858,0.003281,0.38611,0.45795,6500.0,0.4735,3.513,0.11006,2.0,6500.0,0.3052,5.546
8,True,0.3605,5.54,4000.0,0.02885,0.01357,0.18055,0.22285,6500.0,0.969,19.78,0.06335,3.0,6500.0,0.6183,29.28
9,True,0.09528,1.948,4000.0,0.007624,0.004771,0.06977,0.09424,6500.0,0.2554,6.329,0.0268,1.5,6500.0,0.1385,7.753
10,True,0.3662,3.02,4000.0,0.06466,0.01989,0.41327,0.46761,6500.0,0.9775,11.64,0.13743,3.0,6500.0,0.6858,14.97
11,True,0.3773,2.048,4000.0,0.03019,0.005016,0.52293,0.57815,6500.0,1.002,8.017,0.32625,4.5,6500.0,0.3865,5.331
12,True,0.1061,2.441,4000.0,0.008069,0.005609,0.0646,0.0858,6500.0,0.2857,8.121,0.02489,1.5,6500.0,0.1822,10.98
13,True,0.5342,3.337,4000.0,0.04742,0.009307,0.55492,0.59472,6500.0,1.419,13.48,0.388,5.0,6500.0,0.7822,10.08
14,True,0.06351,4.137,4000.0,0.007403,0.01621,0.01964,0.02576,6500.0,0.1747,14.39,0.00677,1.0,6500.0,0.1104,16.3
15,True,0.0615,0.3174,4000.0,0.01405,0.002886,0.28867,0.34839,6500.0,0.1635,1.14,0.15837,2.0,6500.0,0.09225,1.165
