config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,3500.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.1871,0.002303,0.84409,1.06059,0.00837828,0.35461456,0.12854044,0.03971882,-0.40534725,3289.40671831
1,False,False,3500.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,
2,True,True,3500.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,0.4092,0.009997,3.66409,1.51391,0.3862186,1.13473596,0.23951168,0.69724032,-2.7268154,2355.35346913
3,True,True,3500.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,0.2982,0.003758,1.37738,1.45467,0.77473252,1.81540598,0.45380547,0.8525277,-3.81042918,2513.29582002
4,True,False,3500.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.04477,0.001081,0.39621,0.31589,0.0,0.0,0.0,0.0,0.0,3500.0
5,True,False,3500.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.1684,0.003209,1.17616,0.84472,0.0,0.0,0.0,0.0,0.0,3500.0
6,True,False,3500.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.1367,0.004908,1.79888,0.76862,0.0,0.0,0.0,0.0,0.0,3500.0
7,True,False,3500.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.1362,0.001847,0.67696,0.88599,0.0,0.0,0.0,0.0,0.0,3500.0
8,True,True,3500.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.2746,0.01067,3.91076,1.38815,0.15585968,0.77349136,0.22677227,0.40107599,-1.73971883,2513.90175764
9,True,False,3500.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.07259,0.003849,1.41073,0.37287,0.0,0.0,0.0,0.0,0.0,3500.0
10,True,True,3500.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.2795,0.0057,2.08916,1.04046,0.00108859,0.14638246,0.02771193,0.01109081,-0.14614121,3346.82755911
11,True,False,3500.0,0.03222607,8.411298851052964e-05,0.0088584,0.001928457687290612,0.2884,0.003853,1.4122,0.91226,0.0,0.0,0.0,0.0,0.0,3500.0
