config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,frontal_area_drag_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_aero_m,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,4000.0,0.01798288,3.502987965390527e-05,0.0073776,0.0014516362399183036,0.2447,0.002938,1.23067,1.38709,0.5221709,0.36958767,1.59668718,0.40967199,0.64164201,-3.15586376,3027.24230745
1,False,False,4000.0,0.0128866,3.2296735316474394e-05,0.0031439999999999997,0.0017245790544861952,,,,,,,,,,,
2,True,True,4000.0,0.02755279,7.738984632354754e-05,0.00663,0.0020104767573359363,0.5363,0.01255,5.25693,1.98414,0.94771325,0.42979769,1.52339698,0.34484585,1.40305865,-4.21355701,2195.72179355
3,True,True,4000.0,0.02089646,4.703245829361392e-05,0.007263000000000001,0.0018488860069242059,0.3899,0.004848,2.03073,1.902,2.2380121,0.61236215,2.77023379,0.49546465,1.75077841,-6.20804946,2385.70141489
4,True,False,4000.0,0.01444709,3.1382397661471886e-05,0.004519800000000001,0.0016336426105326618,0.05877,0.001296,0.54287,0.41467,0.0,0.29570568,0.0,0.0,0.0,0.0,4000.0
5,True,True,4000.0,0.02032174,4.407699053492797e-05,0.0053700000000000015,0.0017478042223757389,0.2206,0.004024,1.68557,1.10656,0.02970291,0.29990835,0.52270786,0.13328947,0.10001837,-0.76273655,3586.64084219
6,True,True,4000.0,0.01812953,4.125009423551893e-05,0.0057575,0.001534223575447535,0.1793,0.006074,2.54427,1.00815,7.56e-06,0.29570675,0.02523499,0.00759304,0.0004199,-0.01217699,3964.75302284
7,True,True,4000.0,0.01567029,4.301508896757651e-05,0.005023999999999999,0.001626243334218816,0.1782,0.002297,0.96217,1.15921,0.11556216,0.31205658,0.98634348,0.26902153,0.21007096,-1.49968914,3521.56922525
8,True,True,4000.0,0.02016483,6.548567465882491e-05,0.006447500000000002,0.0019818164372906117,0.3605,0.01323,5.54177,1.82239,0.54329246,0.37257617,1.1970821,0.28785726,0.98962596,-3.20701601,2294.03650484
9,True,False,4000.0,0.01984485,5.945212609882618e-05,0.0060085,0.001863241437290612,0.09528,0.004651,1.94821,0.48942,0.0,0.29570568,0.0,0.0,0.0,0.0,4000.0
10,True,True,4000.0,0.02738333,5.01744989736546e-05,0.007048800000000001,0.0015641209986895833,0.3662,0.007209,3.0197,1.36321,0.2540198,0.33164696,1.00508465,0.27491902,0.49140158,-2.22157279,2909.93317806
