config_id,band,h_max_tier,subset,radius_mm,blade_count,inner_chord_mm,mid_chord_mm,outer_chord_mm,inner_angle_deg,mid_angle_deg,outer_angle_deg,mid_radial_pos,mass_g,mass_kg,izz,T_static_N,T_over_W,h_max_m,flight_time_s,v_impact_m_s
394,0,-1,band0_nonliftoff,69,6,6,30,20,17,14,13,0.5,40.326,0.040326,9.97124e-05,0.3504,0.88575,0.0,0.0,0.0
507,0,-1,band0_nonliftoff,61,6,5,25,22,25,8,3,0.7,15.955,0.015955,2.90422e-05,0.1556,0.99413,0.0,0.0,0.0
866,0,-1,band0_nonliftoff,78,3,11,23,11,23,11,6,0.4,16.875,0.016875,4.72065e-05,0.1187,0.71703,0.0,0.0,0.0
953,0,-1,band0_nonliftoff,63,3,6,13,11,22,16,13,0.3,9.034,0.009034,2.3144e-05,0.06878,0.77609,0.0,0.0,0.0
1063,0,-1,band0_nonliftoff,77,4,7,30,27,25,4,2,0.6,24.818,0.024818,7.71083e-05,0.185,0.75986,0.0,0.0,0.0
2693,0,-1,band0_nonliftoff,60,3,7,29,13,23,16,5,0.5,16.479,0.016479,2.71752e-05,0.1342,0.83014,0.0,0.0,0.0
2721,0,-1,band0_nonliftoff,78,6,6,10,10,22,11,4,0.3,9.815000000000001,0.009815,3.34721e-05,0.09607,0.99777,0.0,0.0,0.0
3714,0,-1,band0_nonliftoff,61,3,5,10,10,20,4,3,0.7,4.239,0.004239,1.08303e-05,0.03515,0.84527,0.0,0.0,0.0
23,1,0,band1_tier0,73,4,7,28,27,20,6,4,0.6,24.858999999999998,0.024859,7.10216e-05,0.267,1.09486,0.00972451,0.31090278,-0.43643385
60,1,0,band1_tier0,70,6,6,30,24,17,14,3,0.5,36.714,0.036714,8.45113e-05,0.372,1.03286,0.00237047,0.24009777,-0.21561354
739,1,0,band1_tier0,61,3,9,10,10,19,6,5,0.5,3.868,0.003868,9.7108e-06,0.05575,1.46923,0.29642451,1.15716516,-2.30511558
1535,1,0,band1_tier0,78,3,8,30,25,25,15,5,0.3,21.943,0.021943,6.77238e-05,0.2432,1.12979,0.13196233,1.17763291,-1.58980405
1686,1,0,band1_tier0,67,6,6,12,10,21,10,10,0.3,8.657,0.008657,1.98992e-05,0.1274,1.50014,0.35226101,1.22054541,-2.48406225
1774,1,0,band1_tier0,80,3,9,24,10,20,14,4,0.3,15.535,0.015535,4.38549e-05,0.175,1.14831,0.1586684,1.23796461,-1.7398465
1782,1,0,band1_tier0,78,6,6,28,26,24,3,3,0.7,22.58,0.02258,6.68439e-05,0.2481,1.12004,0.00172279,0.117164,-0.1838059
1899,1,0,band1_tier0,78,6,5,23,11,23,10,2,0.6,23.386,0.023386,6.05277e-05,0.2401,1.04657,0.00615059,0.34001119,-0.34716073
1931,1,0,band1_tier0,63,3,10,30,29,23,18,13,0.3,30.314,0.030314,7.89432e-05,0.314,1.05589,0.01721375,0.52030754,-0.58058092
2005,1,0,band1_tier0,60,5,5,20,20,16,15,5,0.7,13.627,0.013627,2.83257e-05,0.1628,1.21783,0.24443873,1.25026399,-2.13247851
2017,1,0,band1_tier0,68,5,7,29,11,22,9,5,0.7,19.376,0.019376,3.84061e-05,0.1948,1.02484,0.00080707,0.15857039,-0.12582467
2024,1,0,band1_tier0,72,4,9,13,13,17,15,2,0.4,10.099,0.010099,2.97328e-05,0.1185,1.19611,0.19714587,1.19584991,-1.92169283
2359,1,0,band1_tier0,65,5,6,15,15,24,5,4,0.7,9.804,0.009804,2.48633e-05,0.1037,1.07822,0.02079382,0.5231346,-0.63696544
2383,1,0,band1_tier0,79,6,5,11,11,20,3,3,0.7,7.619,0.007619,2.92286e-05,0.12,1.60551,0.19310166,0.82000824,-1.8773972
3302,1,0,band1_tier0,63,3,11,25,11,21,10,4,0.6,9.086,0.009086,1.78601e-05,0.1094,1.22737,0.25992428,1.39739005,-2.18647041
3365,1,0,band1_tier0,68,3,8,30,10,25,15,13,0.3,20.608999999999998,0.020609,4.26605e-05,0.2152,1.06443,0.01966327,0.52939509,-0.62031678
