config_id,rpm_launch,radius_mm,ring_height_mm,ring_thickness_mm,blade_count,inner_thickness_pct,inner_max_pos,inner_camber,inner_chord_mm,inner_angle_deg,mid_radial_pos,mid_chord_mm,mid_angle_deg,outer_thickness_pct,outer_max_pos,outer_camber,outer_chord_mm,outer_angle_deg,mass_g,izz_kg_m2,confidence_score,stl_ok,can_liftoff,h_max_m,data_source,geometry_source,meas_h_median,meas_h_mean,meas_h_min,meas_h_max,n_pass_runs,meas_censored,h_sim_release_m,h_sim_aero_m
0,2000,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.04195,measured,main_geometry_table,0.04195,0.04195,0.0332,0.0507,2,False,0.29570568,0.0
0,2500,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.0598,measured,main_geometry_table,0.0818,0.0738333333333333,0.01,0.1297,3,False,0.29570568,0.0
0,3000,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.0598,measured,main_geometry_table,0.0458,0.0457666666666666,0.0319,0.0596,3,False,0.29570568,0.0
0,3500,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.0895,measured,main_geometry_table,0.0836,0.0904,0.0765,0.1111,3,False,0.29689113,0.00837828
0,4000,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.0895,measured,main_geometry_table,0.0993,0.1017333333333333,0.0935,0.1124,3,False,0.36958767,0.5221709
0,4500,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.0895,measured,main_geometry_table,0.0822,0.0763666666666666,0.0634,0.0835,3,False,0.51992797,1.58472111
0,5000,66.0,4.0,2.0,6.0,21.0,3.0,0.0,5.0,25.0,0.6,27.0,14.0,6.0,6.0,1.0,23.0,4.0,18.6,3.928798806825393e-05,0.975,True,True,0.3051,measured,main_geometry_table,0.3051,0.3051,0.3051,0.3051,1,False,0.706586,2.90395186
23,1500,73.0,4.0,2.0,4.0,24.0,8.0,9.0,7.0,20.0,0.6,28.0,6.0,15.0,2.0,7.0,27.0,4.0,24.7,6.977703811060886e-05,1.0,True,True,0.04975,measured,main_geometry_table,0.04975,0.04975,0.0484,0.0511,2,False,0.29570568,0.0
23,2000,73.0,4.0,2.0,4.0,24.0,8.0,9.0,7.0,20.0,0.6,28.0,6.0,15.0,2.0,7.0,27.0,4.0,24.7,6.977703811060886e-05,1.0,True,True,0.2778,measured,main_geometry_table,0.7638499999999999,0.7638499999999999,0.3556,1.1721,2,False,0.29570568,0.0
23,2500,73.0,4.0,2.0,4.0,24.0,8.0,9.0,7.0,20.0,0.6,28.0,6.0,15.0,2.0,7.0,27.0,4.0,24.7,6.977703811060886e-05,1.0,True,True,0.2778,measured,main_geometry_table,0.0414,0.0637666666666666,0.0385,0.1114,3,False,0.29570568,0.0
