config_id,mass_g,T_meas
4986,6.1,9.936
507,16.3,8.44
4138,27.8,8.62
1978,11.6,9.416
3917,11.2,9.936
3162,9.4,9.053
538,15.5,9.086
885,17.4,8.75
4859,7.3,9.053
1590,25.4,9.73
725,21.8,9.63
1774,15.6,9.65
3308,24.4,8.66
2659,8.9,9.89
515,19.7,8.326
1736,8.7,9.3
2517,4.5,9.463
934,27.5,10.233
2040,12.4,9.043
1900,10.1,8.956
3261,18.8,9.936
394,39.9,9.916
628,33.5,9.346
1063,24.8,9.77
4881,18.4,9.546
3623,9.8,10.28
3393,26.9,9.343
3299,28.6,10.453
2318,16.1,9.403
1414,12.3,9.76
2233,10.3,9.39
1699,5.9,9.2
1535,22.2,9.873
4273,6.3,9.756
60,36.7,8.867
3392,10.3,9.113
561,5.0,9.993
3740,29.3,10.923
1580,30.7,9.083
2693,16.4,8.423
2916,12.5,9.97
859,5.6,9.35
1365,13.6,9.050
4919,7.3,9.48
3923,10.2,9.856
953,8.5,9.376
3281,6.9,9.743
2023,11.6,9.716
4822,26.2,9.773
2383,7.7,9.95
2156,6.0,9.423
2552,28.3,10.12
0,18.6,8.82
1445,30.0,9.81
230,14.2,8.64
3305,9.0,9.94
1244,6.8,9.17
806,11.9,9.63
1899,23.8,9.48
1178,10.8,9.9
2757,14.8,9.82
2359,9.8,9.38
739,3.6,9.3
3456,4.8,9.32
2017,20.2,8.71
1686,8.5,9.25
3302,8.7,8.94
1394,27.2,8.87
1246,14.8,9.24
1696,11.6,9.24
23,24.7,9.69
3714,3.9,9.5
906,13.2,8.61
2567,18.2,9.39
1835,39.3,10.0
4514,14.4,8.51
3868,12.0,9.91
492,12.1,9.62
2721,10.0,9.89
4867,17.8,09.02
370,9.1,9.71
4966,9.6,9.16
4557,21.8,8.79
2057,30.0,9.27
3212,13.0,10.56
1931,29.5,9.59
2300,18.9,9.26
1782,23.0,9.84
866,16.8,9.52
4883,10.7,9.15
2024,10.0,9.51
178,8.8,9.29
1775,18.6,9.89
4459,11.4,8.9
4406,20.2,9.37
633,12.2,8.94
2005,13.6,8.86
3365,20.5,8.52
3577,12.2,9.27
2293,19.8,9.59
