config_id,radius_mm,ring_height_mm,ring_thickness_mm,blade_count,inner_thickness_pct,inner_max_pos,inner_camber,inner_chord_mm,inner_angle_deg,mid_radial_pos,mid_chord_mm,mid_angle_deg,outer_thickness_pct,outer_max_pos,outer_camber,outer_chord_mm,outer_angle_deg
0,66,4.0,2.0,6,21,3,0,5,25,0.6,27,14,6,6,1,23,4
1,60,7.0,3.5,3,17,3,6,8,25,0.5,23,13,8,7,9,20,13
2,80,5.0,2.5,5,24,6,5,6,19,0.3,23,11,12,3,8,14,11
3,66,6.0,3.0,6,22,7,6,5,17,0.5,25,16,6,5,2,22,10
4,67,4.0,2.0,6,23,5,8,5,22,0.7,17,4,20,6,1,11,3
5,70,4.0,2.0,6,24,2,1,5,23,0.6,20,15,24,3,6,10,4
6,75,4.0,2.0,5,21,6,0,6,20,0.3,22,10,9,5,4,12,7
7,73,4.0,2.0,4,23,8,6,7,23,0.5,22,8,11,5,2,21,7
8,78,4.0,2.0,5,17,6,2,7,19,0.5,21,9,17,2,9,20,3
9,78,4.0,2.0,5,17,8,1,6,23,0.7,23,3,17,7,2,17,2
10,64,4.0,2.0,6,20,5,1,5,21,0.7,30,13,13,3,8,18,6
11,78,4.0,2.0,6,22,5,7,5,18,0.6,29,7,13,6,5,19,6
12,79,4.0,2.0,5,19,2,1,7,25,0.3,12,8,14,3,4,11,8
13,76,4.0,2.0,6,22,8,7,5,25,0.6,24,14,13,6,8,12,3
14,71,4.0,2.0,4,24,2,8,5,22,0.4,26,6,10,2,2,24,3
15,60,4.0,2.0,5,17,5,0,7,24,0.3,10,10,16,5,7,10,8
16,79,4.0,2.0,3,23,8,2,7,18,0.4,26,8,11,6,6,26,4
17,62,5.0,2.5,6,19,6,3,6,23,0.6,24,9,14,2,9,18,9
18,61,4.0,2.0,6,18,5,5,6,20,0.6,16,6,12,8,2,10,6
19,79,4.0,2.0,5,21,2,2,5,18,0.4,13,14,21,8,2,11,7
20,69,4.0,2.0,6,20,5,0,6,23,0.5,28,9,9,5,1,12,3
21,80,4.0,2.0,6,23,4,8,6,23,0.5,25,4,17,6,8,19,4
22,69,4.0,2.0,3,24,7,7,10,23,0.3,14,18,9,5,8,13,2
23,73,4.0,2.0,4,24,8,9,7,20,0.6,28,6,15,2,7,27,4
24,74,4.0,2.0,5,23,8,7,5,25,0.3,19,13,12,6,2,10,5
25,66,4.0,2.0,6,20,3,1,5,23,0.7,18,5,18,3,2,16,3
26,61,4.0,2.0,5,23,5,5,7,24,0.5,26,16,16,5,1,15,4
27,76,4.0,2.0,5,17,5,2,7,19,0.5,23,6,16,6,0,22,3
28,60,4.0,2.0,6,21,6,4,5,23,0.3,11,17,14,4,6,11,9
29,78,4.0,2.0,6,20,8,5,5,17,0.5,24,12,18,4,8,18,7
30,77,4.0,2.0,6,20,6,7,5,22,0.3,12,15,10,4,2,11,9
31,74,4.0,2.0,6,21,4,8,6,20,0.7,27,3,14,7,5,24,3
32,72,4.0,2.0,5,24,7,5,5,23,0.6,29,8,8,8,3,18,7
33,76,4.0,2.0,6,23,5,6,6,23,0.3,10,6,22,5,1,10,2
34,70,4.0,2.0,3,15,3,5,7,24,0.7,12,10,10,4,7,10,8
35,78,6.0,3.0,6,18,6,1,6,19,0.5,29,8,16,5,2,28,8
36,73,4.0,2.0,3,17,3,4,8,23,0.3,15,12,16,7,5,14,5
37,66,4.0,2.0,3,24,3,6,7,21,0.6,25,6,21,4,7,16,6
38,76,4.0,2.0,4,22,8,3,7,20,0.3,17,7,10,5,7,10,6
39,65,4.0,2.0,3,24,7,0,7,24,0.6,12,11,17,2,3,11,3
40,79,4.0,2.0,6,24,6,9,5,18,0.4,18,8,22,5,2,12,2
41,65,4.0,2.0,5,15,3,0,7,25,0.3,12,13,10,8,2,10,5
42,72,4.0,2.0,4,20,7,3,5,19,0.6,24,7,11,7,3,19,7
43,64,4.0,2.0,5,17,8,9,7,20,0.4,16,10,14,6,1,16,6
