config_id,flight_ok,can_liftoff,rpm_launch,mass_kg,inertia_kg_m2,blade_planform_m2,T_static_N,Q_static_Nm,Pshaft_static_W,T_over_W,h_max_m,flight_time_s,hover_time_s,v_max_m_s,v_impact_m_s,rpm_at_impact
0,True,True,4000.0,0.01783139,3.52021e-05,0.0073776,0.2447,0.002929,1.2269,1.39888,0.52813338,1.62050675,0.39361041,0.6397012,-2.98269002,3023.77973104
1,False,False,4000.0,0.01277804,3.22912e-05,0.0031439999999999997,,,,,,,,,,
2,True,True,4000.0,0.02732068,8.03181e-05,0.00663,0.5363,0.01255,5.25693,2.001,0.96477079,1.56509723,0.37711135,1.3991293,-4.01004887,2213.34215085
3,True,True,4000.0,0.02072042,4.79856e-05,0.007263000000000001,0.3899,0.004848,2.03073,1.91816,2.14726017,2.82518466,0.59021968,1.67390548,-5.07687022,2390.00090948
4,True,False,4000.0,0.01432538,3.13173e-05,0.004519800000000001,0.04184,0.001573,0.6589,0.29773,0.0,0.0,0.0,0.0,0.0,4000.0
5,True,True,4000.0,0.02015054,4.48378e-05,0.0053700000000000015,0.2206,0.004024,1.68557,1.11596,0.03586022,0.55987967,0.21589538,0.11380822,-0.83592272,3567.86993889
6,True,True,4000.0,0.01797681,4.1827e-05,0.0057575,0.1793,0.006074,2.54427,1.01671,5.923e-05,0.05072037,0.02300944,0.00188049,-0.03408957,3930.59673202
7,True,True,4000.0,0.01553828,4.37069e-05,0.005023999999999999,0.1782,0.002297,0.96217,1.16906,0.12692039,1.02391606,0.26589765,0.22475254,-1.55510914,3511.58843155
8,True,True,4000.0,0.01999495,6.76394e-05,0.006447500000000002,0.3605,0.01323,5.54177,1.83787,0.55575525,1.22398419,0.26214176,0.98791813,-3.10098921,2307.44426156
9,True,False,4000.0,0.01967768,6.12133e-05,0.0060085,0.09528,0.004651,1.94821,0.49358,0.0,0.0,0.0,0.0,0.0,4000.0
10,True,True,4000.0,0.02715265,5.13321e-05,0.007048800000000001,0.3662,0.007209,3.0197,1.37479,0.26989435,1.03487934,0.26090983,0.51111458,-2.24457084,2905.154564
11,True,True,4000.0,0.03195459,8.74787e-05,0.0088584,0.3773,0.00489,2.04832,1.20361,0.2472328,1.31909439,0.4159937,0.34576972,-2.1494398,3400.13418168
12,True,True,4000.0,0.00968011,3.40929e-05,0.0041155,0.1061,0.005827,2.44081,1.11729,0.00866423,0.27660076,0.08611178,0.05411101,-0.41175215,3578.77670176
13,True,True,4000.0,0.02160672,5.30092e-05,0.006902400000000001,0.5342,0.007968,3.33763,2.52026,3.17533291,3.12034145,0.70092508,2.39953561,-5.73049553,1901.75451287
14,True,False,4000.0,0.02024776,4.79539e-05,0.0057728,0.06351,0.009877,4.13727,0.31974,0.0,0.0,0.0,0.0,0.0,4000.0
15,True,True,4000.0,0.00609894,1.34124e-05,0.002695,0.0615,0.0007578,0.31743,1.0279,0.00145942,0.20611761,0.04018703,0.01159996,-0.16917604,3891.2058714
16,True,True,4000.0,0.01964663,6.34771e-05,0.0050634,0.2278,0.002382,0.99777,1.18194,0.27954069,1.57553048,0.38898083,0.32337761,-2.2827452,3506.36698134
17,True,True,4000.0,0.02028272,4.24654e-05,0.006112799999999999,0.2401,0.006282,2.6314,1.20669,0.05790912,0.57236629,0.20308697,0.18860027,-1.05928467,3290.65814241
18,True,False,4000.0,0.00853783,1.56329e-05,0.004054800000000001,0.07899,0.001758,0.73639,0.9431,0.0,0.0,0.0,0.0,0.0,4000.0
19,True,True,4000.0,0.01146954,4.01484e-05,0.004085999999999999,0.241,0.003072,1.2868,2.14191,3.238342,3.99557651,0.8691792,1.79678744,-5.5742231,2293.49440933
20,True,False,4000.0,0.02143476,4.09258e-05,0.0072510000000000005,0.1077,0.0026,1.08909,0.51219,0.0,0.0,0.0,0.0,0.0,4000.0
21,True,False,4000.0,0.03179181,9.58606e-05,0.008628,0.2346,0.004193,1.75636,0.75222,0.0,0.0,0.0,0.0,0.0,4000.0
22,True,True,4000.0,0.00688445,1.76804e-05,0.0025573500000000003,0.1985,0.00209,0.87546,2.93915,4.60502426,4.27305236,1.11582356,2.64388258,-5.80319,1816.45367413
23,True,True,4000.0,0.02484798,7.09897e-05,0.005998,0.267,0.009379,3.92867,1.09535,0.00984939,0.31229091,0.12402819,0.055437,-0.43922225,3633.15905322
24,True,True,4000.0,0.01585772,3.74911e-05,0.004847499999999999,0.1573,0.002796,1.17119,1.01116,6.622e-05,0.06496482,0.00853614,0.00079649,-0.03604433,3954.11473301
25,True,False,4000.0,0.01407996,3.35616e-05,0.004931400000000001,0.07929,0.00206,0.86289,0.57405,0.0,0.0,0.0,0.0,0.0,4000.0
26,True,False,4000.0,0.01974051,3.23366e-05,0.0053125,0.1575,0.001679,0.7033,0.8133,0.0,0.0,0.0,0.0,0.0,4000.0
27,True,False,4000.0,0.02126866,6.57652e-05,0.0068249999999999995,0.07554,0.00205,0.8587,0.36205,0.0,0.0,0.0,0.0,0.0,4000.0
28,False,False,4000.0,0.0080696,1.64271e-05,0.003443999999999999,,,,,,,,,,
29,True,True,4000.0,0.0285076,8.68767e-05,0.007959,0.5254,0.00703,2.94472,1.87871,2.79339077,3.3300549,0.80484729,1.82142773,-5.74440276,2438.59940681
30,True,True,4000.0,0.00980247,3.11155e-05,0.0046932,0.3363,0.004069,1.70442,3.49722,3.88842873,3.89565653,0.89019316,2.72052509,-5.15834209,1679.50653156
31,True,False,4000.0,0.02737998,7.47542e-05,0.008128800000000002,0.1905,0.002867,1.20093,0.70924,0.0,0.0,0.0,0.0,0.0,4000.0
32,True,True,4000.0,0.02205518,4.97257e-05,0.006716000000000001,0.2582,0.005711,2.39222,1.19337,0.06604627,0.64912533,0.17063929,0.18602824,-1.13018416,3369.02654112
33,True,False,4000.0,0.01033633,3.32939e-05,0.0040944,0.005216,0.002575,1.07861,0.05144,0.0,0.0,0.0,0.0,0.0,4000.0
34,False,False,4000.0,0.00511198,1.67836e-05,0.0019755,,,,,,,,,,
35,True,False,4000.0,0.04185939,0.0001403982,0.010344000000000002,0.288,0.004918,2.06005,0.70134,0.0,0.0,0.0,0.0,0.0,4000.0
36,True,True,4000.0,0.0088271,2.74831e-05,0.0028403999999999994,0.1242,0.001263,0.52904,1.43428,0.97389426,2.58645658,0.56433918,0.74973203,-3.92338763,3104.38302118
37,True,False,4000.0,0.01593963,3.60909e-05,0.0033324,0.09431,0.000989,0.41427,0.60313,0.0,0.0,0.0,0.0,0.0,4000.0
38,True,True,4000.0,0.01088521,2.95549e-05,0.0037752,0.1298,0.001811,0.75859,1.21554,0.17979496,1.15711541,0.31183919,0.28667597,-1.83698502,3411.84413197
39,True,True,4000.0,0.00577662,1.49751e-05,0.0018945,0.07665,0.0008149,0.34134,1.3526,0.65242655,1.9987596,0.42163382,0.63107271,-3.32025859,3165.20649835
40,True,False,4000.0,0.02128905,6.28337e-05,0.0061704,0.09057,0.002046,0.85703,0.43367,0.0,0.0,0.0,0.0,0.0,4000.0
41,True,True,4000.0,0.00642487,1.56888e-05,0.00323875,0.07125,0.001226,0.51355,1.13045,0.03628113,0.58561881,0.14515071,0.11075304,-0.83820082,3590.67347449
42,True,True,4000.0,0.01452742,3.98243e-05,0.0047504,0.1793,0.002401,1.00573,1.25812,0.24784409,1.2730833,0.33556095,0.36782338,-2.14264093,3328.21440632
43,True,True,4000.0,0.01042757,2.35288e-05,0.004314000000000001,0.1093,0.001473,0.61701,1.06848,0.01249672,0.4236812,0.11897513,0.05004942,-0.4942463,3756.65062772
44,True,True,4000.0,0.01088662,2.16484e-05,0.0035700000000000003,0.1493,0.001845,0.77283,1.39797,0.5497455,1.62711923,0.40847005,0.66131061,-3.08305933,3000.63502552
45,True,False,4000.0,0.01162315,2.15537e-05,0.004680000000000001,0.07064,0.002204,0.92321,0.61952,0.0,0.0,0.0,0.0,0.0,4000.0
46,True,True,4000.0,0.00689316,2.53779e-05,0.0021922499999999998,0.1848,0.002335,0.97808,2.73284,5.78733135,5.15228019,1.57131296,2.63492416,-6.3218165,1863.92530484
47,True,True,4000.0,0.0164121,4.07826e-05,0.004243200000000001,0.2694,0.002974,1.24575,1.67326,1.97837147,2.89233151,0.71518456,1.43937586,-5.24505838,2662.58234808
48,True,True,4000.0,0.01341669,4.81644e-05,0.0035606,0.236,0.003969,1.66253,1.79307,2.47424382,3.15317626,0.7608087,1.66800277,-5.60849827,2481.03241343
49,True,True,4000.0,0.02090916,6.29454e-05,0.006360000000000001,0.712,0.009599,4.02082,3.47116,5.53297235,4.23385378,0.90644304,3.44934737,-6.40087497,1570.32917974
50,True,False,4000.0,0.01643319,4.88382e-05,0.005062499999999999,0.1402,0.001693,0.70916,0.86968,0.0,0.0,0.0,0.0,0.0,4000.0
51,False,False,4000.0,0.0075095,2.63163e-05,0.0032424999999999997,,,,,,,,,,
52,True,False,4000.0,0.02108153,3.79653e-05,0.006360000000000001,0.09169,0.002212,0.92656,0.44335,0.0,0.0,0.0,0.0,0.0,4000.0
53,False,False,4000.0,0.01608134,4.54735e-05,0.0055320000000000005,,,,,,,,,,
54,True,True,4000.0,0.00741594,2.29078e-05,0.00339,0.2329,0.002554,1.06982,3.20136,2.68120578,3.05895985,0.42824214,2.4403348,-4.97764269,1860.22407688
55,True,False,4000.0,0.03225618,7.83662e-05,0.005844,0.02815,0.001395,0.58434,0.08896,0.0,0.0,0.0,0.0,0.0,4000.0
56,True,True,4000.0,0.0235576,6.35361e-05,0.004041299999999999,0.3136,0.003649,1.52849,1.35699,0.95553324,2.20863119,0.57170099,0.83724933,-4.08757475,3074.40810804
57,True,True,4000.0,0.02917593,9.54134e-05,0.00742225,0.5892,0.0153,6.40885,2.05859,1.05116912,1.62909739,0.36605808,1.47866328,-4.13905927,2175.86486367
58,True,True,4000.0,0.00499699,1.12674e-05,0.00242,0.0951,0.0008596,0.36007,1.94001,2.04854146,3.38933875,0.66892982,1.3136623,-4.63110323,2514.15987159
59,True,True,4000.0,0.00845764,2.97376e-05,0.0029487999999999997,0.1262,0.001454,0.60905,1.52104,1.62329546,3.09383488,0.62907836,1.06433573,-4.67087351,2936.40335405
60,True,True,4000.0,0.03669763,8.44735e-05,0.009018,0.372,0.005041,2.11157,1.03332,0.00246226,0.24326863,0.09686708,0.0166082,-0.21974653,3865.70018191
61,True,True,4000.0,0.01177038,4.3244e-05,0.0031619999999999994,0.4287,0.005364,2.24687,3.71274,5.87248092,4.60694954,0.7413177,3.47934604,-6.75614541,1587.83670296
62,True,True,4000.0,0.00792277,2.06325e-05,0.0028070000000000005,0.1702,0.001792,0.75063,2.18985,2.99370528,3.78178406,0.81122671,1.76801429,-5.49444449,2268.33537234
