timestamp_sec,source,value1,value2
248.435562,tfmini,39403,13657
248.438049,tfmini,309,1549
248.445800,tfmini,309,1580
248.456207,tfmini,310,1748
248.467544,tfmini,311,1763
248.475753,tfmini,58679,39321
248.482803,tfmini,312,1783
248.488357,tfmini,312,1823
248.492416,tfmini,312,1821
248.498428,tfmini,311,1841
248.506652,tfmini,312,1838
248.511108,tfmini,312,1836
248.513565,tfmini,311,1846
248.522171,tfmini,311,1842
248.535705,tfmini,311,1817
248.538177,tfmini,312,1798
248.542633,tfmini,311,1809
248.548156,tfmini,311,1790
248.549728,tfmini,311,1773
248.563842,tfmini,310,1763
248.577453,tfmini,309,1582
248.588302,tfmini,308,1542
248.610229,tfmini,309,1558
248.617691,tfmini,309,1574
248.621887,tfmini,308,1546
248.653091,tfmini,303,1564
248.656677,tfmini,302,1541
248.664672,tfmini,301,39295
248.675872,tfmini,300,1590
248.686019,tfmini,302,1730
248.690338,tfmini,300,1595
248.699890,tfmini,299,1761
248.702239,tfmini,299,1759
248.708892,tfmini,303,39422
248.719436,tfmini,308,1833
248.738464,tfmini,307,1810
248.744827,tfmini,306,1781
248.759735,tfmini,294,1594
248.762237,tfmini,292,1592
248.765731,tfmini,289,1594
248.769180,tfmini,39199,7769
248.774826,tfmini,39211,7513
248.777923,tfmini,285,1575
248.779846,tfmini,285,1576
248.783218,tfmini,285,1564
248.794097,tfmini,288,1569
248.811035,tfmini,302,1564
248.817535,tfmini,300,1548
248.821624,tfmini,297,1544
248.833023,tfmini,304,1597
248.835617,tfmini,306,1731
248.837188,tfmini,307,1731
248.841720,tfmini,307,1588
248.846557,tfmini,304,1647
248.850692,tfmini,302,22877
248.867935,tfmini,310,1586
248.876602,tfmini,61494,39257
248.879623,tfmini,309,1659
248.884033,tfmini,307,1650
248.886749,tfmini,305,1629
248.889114,tfmini,305,2384
248.900619,tfmini,303,1588
248.902114,tfmini,303,1588
248.924545,tfmini,307,1545
248.928970,tfmini,309,1571
248.937194,tfmini,310,1582
248.953308,tfmini,310,1571
248.969375,tfmini,309,1545
248.979019,tfmini,308,1553
248.999237,tfmini,309,1561
249.013732,tfmini,310,1578
249.019287,tfmini,310,1595
249.021759,tfmini,309,1581
249.031906,tfmini,309,1575
249.043029,tfmini,310,1732
249.045486,tfmini,310,1732
249.050918,tfmini,310,1767
249.070602,tfmini,311,1807
249.077072,tfmini,312,1819
249.083099,tfmini,312,1836
249.084640,tfmini,312,1817
249.086151,tfmini,312,22809
249.093688,tfmini,312,1828
249.103576,tfmini,311,1802
249.108001,tfmini,312,1811
249.109542,tfmini,312,1811
249.112884,tfmini,311,23028
249.117507,tfmini,311,1786
249.122558,tfmini,311,1797
249.129898,tfmini,310,1779
249.148101,tfmini,309,1733
249.157150,tfmini,309,1571
249.161712,tfmini,308,1542
249.173339,tfmini,308,1548
249.182037,tfmini,309,1567
249.194976,tfmini,308,1542
249.198654,tfmini,308,1540
249.212554,tfmini,303,1627
249.215087,tfmini,302,1650
249.229721,tfmini,305,1576
249.231246,tfmini,305,1585
249.234619,tfmini,305,1565
249.238067,tfmini,305,1566
249.245040,tfmini,302,1555
249.259201,tfmini,303,1582
249.260757,tfmini,304,1588
249.263244,tfmini,304,1728
249.270385,tfmini,305,1585
249.279663,tfmini,304,1585
