=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:17:53 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,vlue2
1.360536,tfmini,312,1900
1.366944,tfmini,312,1885
1.378592,tfmini,313,1885
1.386704,tfmini,312,2377
1.402224,tfmini,311,1858
1.406568,tfmini,312,1901
1.407984,tfmini,312,1901
1.411520,tfmini,312,1882
1.442208,tfmini,312,1872
1.447640,tfmini,312,1884
1.449104,tfmini,312,1876
1.453912,tfmini,312,1875
1.458000,tfmini,313,23013
1.459952,tfmini,313,1878
1.462216,tfmini,313,1882
1.463656,tfmini,312,22793
1.474640,tfmini,312,1880
1.483008,tfmini,312,1879
1.486240,tfmini,312,1873
1.488656,tfmini,312,1880
1.492136,tfmini,313,39245
1.498116,tfmini,312,1890
1.500896,tfmini,311,1857
1.506664,tfmini,311,1884
1.508080,tfmini,311,1883
1.516304,tfmini,39257,311
1.528584,tfmini,312,1888
1.530984,tfmini,312,1892
1.537044,tfmini,313,4195
1.544704,tfmini,312,1884
1.557048,tfmini,312,1879
1.565752,tfmini,312,60513
1.569804,tfmini,312,1886
1.571264,tfmini,312,1886
1.573544,tfmini,312,1882
1.583124,tfmini,312,1893
1.591324,tfmini,312,39274
1.594372,tfmini,312,1878
1.598872,tfmini,312,1882
1.606112,tfmini,312,1885
1.616512,tfmini,313,1876
1.635696,tfmini,312,1889
1.644160,tfmini,312,39760
1.659128,tfmini,312,1872
1.660592,tfmini,313,1899
1.667840,tfmini,313,1879
1.671832,tfmini,312,1891
1.675344,tfmini,312,1878
1.680412,tfmini,311,22877
1.687592,tfmini,311,1889
1.694472,tfmini,312,1875
1.703768,tfmini,312,1887
1.705232,tfmini,312,1887
1.711640,tfmini,312,1891
1.714552,tfmini,312,1882
1.716016,tfmini,313,1882
1.721952,tfmini,312,1888
1.728608,tfmini,312,1881
1.735384,tfmini,312,1875
1.741440,tfmini,312,1882
1.744344,tfmini,312,1896
1.752744,tfmini,312,1872
1.760232,tfmini,312,1873
1.765936,tfmini,313,1894
1.782296,tfmini,312,1867
1.790320,tfmini,312,1892
1.798648,tfmini,311,1871
1.807592,tfmini,312,1872
1.826984,tfmini,312,1893
1.830480,tfmini,312,1882
1.836384,tfmini,312,1885
1.838768,tfmini,312,60425
1.850728,tfmini,313,1870
1.855232,tfmini,313,1898
1.856656,tfmini,313,1898
1.864904,tfmini,22840,14489
1.883576,tfmini,312,1890
1.887096,tfmini,312,1873
1.892544,tfmini,312,1878
1.896160,tfmini,312,1873
1.903560,tfmini,312,1881
1.917568,tfmini,312,1880
1.922752,tfmini,312,1887
1.931608,tfmini,312,1869
1.935832,tfmini,312,1888
1.942984,tfmini,312,1873
1.946880,tfmini,311,1888
1.954888,tfmini,312,39251
1.963200,tfmini,312,1883
1.967400,tfmini,312,1889
1.968808,tfmini,312,1866
1.973072,tfmini,312,1873
1.974496,tfmini,312,1873
1.975928,tfmini,312,1878
1.978440,tfmini,22840,14489
1.981216,tfmini,312,1886
1.984716,tfmini,312,1868
1.986536,tfmini,312,1889
1.988008,tfmini,312,39321
1.995176,tfmini,22840,14489
2.001352,tfmini,312,1892
2.019656,tfmini,312,1881
2.023008,tfmini,312,1882
2.024420,tfmini,311,1869
2.033408,tfmini,312,1869
2.043448,tfmini,311,1884
2.063232,tfmini,312,1876
2.069664,tfmini,312,1883
2.071088,tfmini,312,1883
2.072536,tfmini,312,1888
2.074816,tfmini,312,1886
2.078068,tfmini,312,1878
2.080472,tfmini,39224,14681
2.082624,tfmini,313,1900
2.089520,tfmini,313,1884
2.090936,tfmini,313,39260
2.093048,tfmini,313,1877
2.094472,tfmini,313,1905
2.095892,tfmini,313,1905
2.100752,tfmini,312,4180
2.104872,tfmini,312,1880
2.122104,tfmini,313,1877
2.123520,tfmini,313,1896
