=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:29:14 =~=~=~=~=~=~=~=~=~=~=~=
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,value2
1.374024,laser,147,
1.381192,tfmini,240,2496
1.385200,tfmini,240,2498
1.386664,tfmini,240,2506
1.390536,tfmini,239,2497
1.394632,tfmini,239,2500
1.404216,tfmini,240,2365
1.413328,tfmini,240,2497
1.415720,tfmini,240,2360
1.424320,tfmini,240,2358
1.444208,tfmini,240,2499
1.463280,tfmini,239,2365
1.466528,tfmini,239,2356
1.468848,tfmini,240,2355
1.472336,tfmini,51696,22793
1.484624,tfmini,240,2356
1.489976,tfmini,241,2366
1.491392,tfmini,241,2365
1.497480,tfmini,240,2366
1.511928,tfmini,240,2501
1.514320,tfmini,240,2364
1.522592,tfmini,240,2497
1.524864,tfmini,240,2362
1.527248,tfmini,240,2500
1.531744,tfmini,240,2364
1.534024,tfmini,240,22837
1.536120,tfmini,240,2506
1.545380,tfmini,240,2508
1.555536,tfmini,239,2499
1.567528,tfmini,240,2352
1.588416,tfmini,239,2361
1.602136,tfmini,240,2361
1.604536,tfmini,240,2367
1.605976,tfmini,240,2367
1.640840,tfmini,240,2500
1.651896,tfmini,239,2364
1.655136,tfmini,239,2500
1.665552,tfmini,240,2358
1.676360,tfmini,240,2506
1.693584,tfmini,240,2501
1.705216,tfmini,240,2509
1.708600,tfmini,240,2505
1.711096,tfmini,240,2496
1.726288,tfmini,240,2498
1.736104,tfmini,240,2366
1.745416,tfmini,239,2355
1.756112,tfmini,240,2497
1.758528,tfmini,240,2499
1.778928,tfmini,240,2365
1.792992,tfmini,240,2365
1.794416,tfmini,240,2365
1.806840,tfmini,239,2360
1.813856,tfmini,240,2363
1.817976,tfmini,240,2500
1.823912,tfmini,240,2501
1.834688,tfmini,239,2367
1.837076,tfmini,239,2366
1.845456,tfmini,240,2501
1.857592,tfmini,240,2496
1.861816,tfmini,239,2504
1.879200,tfmini,240,2497
1.889016,tfmini,240,2355
1.895452,tfmini,240,2497
1.899432,tfmini,240,2501
1.902800,tfmini,240,2498
1.910192,tfmini,240,2362
1.913432,tfmini,240,2510
1.926796,tfmini,240,2355
1.935776,tfmini,240,2364
1.940952,tfmini,240,2508
1.944552,tfmini,240,2360
1.985272,tfmini,240,2366
1.988784,tfmini,240,2496
1.993112,tfmini,240,2508
2.038224,tfmini,239,2356
2.040616,tfmini,240,2510
2.044128,tfmini,240,2366
2.048960,tfmini,240,39321
2.050912,tfmini,240,2364
2.069728,tfmini,240,2364
2.072152,tfmini,240,2503
2.075520,tfmini,240,2505
2.083792,tfmini,240,2354
2.091280,tfmini,240,2505
2.096232,tfmini,240,2352
2.119656,tfmini,239,2360
2.123032,tfmini,240,2357
2.125328,tfmini,240,2367
2.128720,tfmini,240,2360
2.150448,tfmini,239,2363
2.168172,tfmini,239,2364
2.173496,tfmini,240,2355
2.177472,tfmini,240,2363
2.179992,tfmini,240,2367
2.186536,tfmini,240,2365
2.187960,tfmini,240,2365
2.191820,tfmini,240,2360
2.198520,tfmini,240,2362
2.213968,tfmini,240,2496
2.223896,tfmini,240,2502
2.226296,tfmini,240,2355
2.228696,tfmini,240,2367
2.231104,tfmini,240,2363
2.238120,tfmini,240,2498
2.245248,tfmini,240,2357
2.250088,tfmini,241,2362
2.256968,tfmini,240,2360
2.264344,tfmini,240,2365
2.275768,tfmini,240,2496
2.283388,tfmini,239,2360
2.286264,tfmini,240,2364
2.288560,tfmini,240,2352
2.290960,tfmini,240,2497
2.297624,tfmini,239,2500
2.315000,tfmini,240,2367
2.324240,tfmini,240,2364
2.337448,tfmini,240,2506
2.342868,tfmini,240,2362
2.346872,tfmini,240,2363
2.351960,tfmini,240,2365
2.354968,tfmini,240,2357
2.361504,tfmini,240,2362
2.365520,tfmini,240,2358
2.369664,tfmini,240,2361
2.394352,tfmini,240,2496
2.395816,tfmini,240,2496
2.405984,tfmini,240,2355
2.409480,tfmini,240,2367
2.416840,tfmini,241,2351
2.423744,tfmini,240,2361
2.426872,tfmini,239,2360
2.431224,tfmini,241,2366
2.451408,tfmini,240,2507
2.466120,tfmini,240,2510
2.467544,tfmini,240,2510
2.481352,tfmini,240,2348
2.485584,tfmini,240,2364
2.495920,tfmini,239,2355
2.525808,tfmini,240,2360
2.535880,tfmini,240,2358
2.542184,tfmini,240,2366
2.543628,tfmini,240,2366
2.555752,tfmini,240,2361
2.564216,tfmini,240,39257
2.569244,tfmini,240,2364
2.584336,tfmini,239,2362
2.610328,tfmini,239,2362
2.623192,tfmini,240,2357
2.625456,tfmini,239,2500
2.633704,tfmini,240,1599
2.637584,tfmini,240,2500
2.644288,tfmini,240,2360
2.646312,tfmini,240,2365
2.655128,tfmini,240,2360
2.662264,tfmini,240,2362
2.668200,tfmini,239,2357
2.675304,tfmini,240,2502
2.677344,tfmini,240,2355
2.679768,tfmini,240,2362
2.684120,tfmini,240,39321
2.690208,tfmini,239,2351
2.692620,tfmini,2543,22937
2.696560,tfmini,239,2497
2.700544,tfmini,240,2505
2.701952,tfmini,240,22873
2.706592,tfmini,240,2498
2.708008,tfmini,240,2366
2.712464,tfmini,240,2506
2.743432,tfmini,240,2363
2.747640,tfmini,240,2365
2.754552,tfmini,241,2361
2.759736,tfmini,240,2501
2.769088,tfmini,240,2498
2.781204,tfmini,240,2361
2.784456,tfmini,240,2497
2.785880,tfmini,240,2497
2.790232,tfmini,240,62779
2.795584,tfmini,239,2360
2.800456,tfmini,240,2499
2.811000,tfmini,240,2352
2.812408,tfmini,240,2498
2.815788,tfmini,239,2357
2.821472,tfmini,240,2367
2.827424,tfmini,240,2363
2.830584,tfmini,240,2361
2.832752,tfmini,240,2362
2.835144,tfmini,240,2365
2.841544,tfmini,239,39217
2.845208,tfmini,240,2496
2.849680,tfmini,240,2363
2.853524,tfmini,239,39216
2.858400,tfmini,239,2501
2.865792,tfmini,239,2500
2.895448,tfmini,240,2500
2.911236,tfmini,240,2496
2.923352,tfmini,240,2357
2.931344,tfmini,239,64962
2.937680,tfmini,240,2367
2.941688,tfmini,240,2496
2.946576,tfmini,240,2366
2.951440,tfmini,240,2499
2.965496,tfmini,240,2345
2.969888,tfmini,240,2359
2.973392,tfmini,240,2513
2.979240,tfmini,240,2364
3.006492,tfmini,236,2422
3.012768,tfmini,235,2424
3.014184,tfmini,235,2424
3.015640,tfmini,235,2400
3.024104,tfmini,231,2377
3.041352,tfmini,224,2342
3.050304,tfmini,158,2330
3.118808,tfmini,141,2048
3.120224,tfmini,141,2168
3.127476,tfmini,141,2062
3.132200,tfmini,140,2165
3.139224,tfmini,138,2151
3.140688,tfmini,138,22873
3.152480,tfmini,138,2159
3.160092,tfmini,138,2172
3.162160,tfmini,138,2049
3.164592,tfmini,138,2169
3.174392,tfmini,138,2165
3.183248,tfmini,137,2163
3.191848,tfmini,138,2050
3.194992,tfmini,138,2156
3.211080,tfmini,137,2171
3.221048,tfmini,137,2170
3.232080,tfmini,138,2174
3.233488,tfmini,138,2165
3.244784,tfmini,138,2055
3.247200,tfmini,138,2164
3.255896,tfmini,138,2051
3.258280,tfmini,138,2174
3.263704,tfmini,138,2163
3.277776,tfmini,138,2172
3.284048,tfmini,137,2163
3.286572,tfmini,137,39176
3.301420,tfmini,137,2167
3.308920,tfmini,138,2064
3.312144,tfmini,137,2171
3.328352,tfmini,138,2160
3.332824,tfmini,137,2051
3.339976,tfmini,136,2162
3.348368,tfmini,138,2175
3.374128,tfmini,138,2171
3.382464,tfmini,138,39176
3.390792,tfmini,137,2050
3.394192,tfmini,138,2149
3.395612,tfmini,138,2149
3.402912,tfmini,137,2168
3.404328,tfmini,22937,137
3.409816,tfmini,138,2159
3.413192,tfmini,35481,1536
3.416800,tfmini,138,2164
3.420760,tfmini,138,2051
3.429112,tfmini,137,2159
3.431144,tfmini,137,2162
3.432588,tfmini,137,2175
3.435944,tfmini,137,2054
3.437364,tfmini,136,2051
3.440668,tfmini,137,2164
3.444764,tfmini,138,2162
3.446184,tfmini,39306,51865
3.450696,tfmini,137,2163
3.453088,tfmini,137,2161
3.472544,tfmini,136,2168
3.501040,tfmini,137,2173
3.502472,tfmini,137,2173
3.505824,tfmini,137,2163
3.512512,tfmini,136,2163
3.513944,tfmini,136,2159
3.520104,tfmini,137,2161
3.523824,tfmini,137,2173
3.529168,tfmini,137,39286
3.536584,tfmini,138,2163
3.543400,tfmini,137,2173
3.547392,tfmini,137,2163
3.551880,tfmini,137,22937
3.557328,tfmini,138,2159
3.561088,tfmini,138,2159
3.563600,tfmini,138,2056
3.567712,tfmini,138,2172
3.571696,tfmini,138,2174
3.582380,tfmini,138,2159
3.585912,tfmini,137,2167
3.598296,tfmini,137,2163
3.604600,tfmini,136,2166
3.610752,tfmini,137,2160
3.620552,tfmini,137,2169
3.662128,tfmini,137,2159
3.664520,tfmini,137,2157
3.686840,tfmini,139,2050
3.697008,tfmini,138,2174
3.701572,tfmini,138,2171
3.703040,tfmini,137,2169
3.705304,tfmini,137,2167
3.707096,tfmini,137,2160
3.712160,tfmini,2441,39257
3.732672,tfmini,138,2169
3.738968,tfmini,138,2175
3.746864,tfmini,137,39274
3.772568,tfmini,138,2175
3.781052,tfmini,138,39177
3.787888,tfmini,137,2160
3.791640,tfmini,136,2173
3.795008,tfmini,136,2161
3.796928,tfmini,136,2143
3.799368,tfmini,136,2166
3.803344,tfmini,135,2142
3.811348,tfmini,136,22793
3.815360,tfmini,136,2160
3.822472,tfmini,137,2172
