=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2026.06.10 11:31:35 =~=~=~=~=~=~=~=~=~=~=~=
1793
# Ready. Send 's' to start, 'x' to stop.
# Recording started.
timestamp_sec,source,value1,value2
3.550544,laser,74,
3.554528,tfmini,314,1804
3.562016,tfmini,314,1916
3.563440,tfmini,314,1916
3.565608,tfmini,313,1801
3.567872,tfmini,313,1916
3.573040,tfmini,313,1916
3.579712,tfmini,313,1797
3.581864,tfmini,313,1797
3.588880,tfmini,313,1911
3.590312,tfmini,313,39175
3.605276,tfmini,314,1796
3.606696,tfmini,314,1796
3.610208,tfmini,314,1917
3.617944,tfmini,314,1811
3.620012,tfmini,313,1794
3.622320,tfmini,313,1792
3.625544,tfmini,313,1800
3.639100,tfmini,314,1903
3.660972,tfmini,314,1794
3.664456,tfmini,314,1801
3.665880,tfmini,314,1909
3.671832,tfmini,313,1800
3.673280,tfmini,313,59399
3.677784,tfmini,314,1909
3.689056,tfmini,313,1916
3.713720,tfmini,314,1800
3.716108,tfmini,314,1817
3.731744,tfmini,313,1800
3.737048,tfmini,313,1795
3.740544,tfmini,314,39272
3.745540,tfmini,314,22792
3.755648,tfmini,313,1794
3.759984,tfmini,314,1799
3.762400,tfmini,314,1913
3.767352,tfmini,314,1798
3.770380,tfmini,314,1794
3.786384,tfmini,314,1798
3.787804,tfmini,313,1798
3.798320,tfmini,314,1804
3.799736,tfmini,314,1804
3.807104,tfmini,314,1793
3.810608,tfmini,313,1917
3.813960,tfmini,314,1910
3.822480,tfmini,314,1794
3.851960,tfmini,314,1796
3.855320,tfmini,314,1914
3.857712,tfmini,314,1919
3.871704,tfmini,313,1800
3.874256,tfmini,313,1913
3.876660,tfmini,313,1793
3.895728,tfmini,313,1806
3.901184,tfmini,314,1912
3.906256,tfmini,314,1796
3.914120,tfmini,314,22797
3.920080,tfmini,314,1919
3.925012,tfmini,314,1792
3.934328,tfmini,313,1798
3.939728,tfmini,313,1802
3.948580,tfmini,313,1803
3.949992,tfmini,314,1794
3.968656,tfmini,313,1918
3.970076,tfmini,314,1792
3.988192,tfmini,314,1804
3.992640,tfmini,313,1916
3.994064,tfmini,313,1794
3.999160,tfmini,313,1816
4.001440,tfmini,313,1919
4.003100,tfmini,313,1915
4.017188,tfmini,313,1806
4.031992,tfmini,314,1794
4.038400,tfmini,314,1910
4.039804,tfmini,314,1800
4.041856,tfmini,314,1909
4.045352,tfmini,314,1919
4.046776,tfmini,314,1918
4.051864,tfmini,313,1796
4.057312,tfmini,313,1802
4.063224,tfmini,314,1796
4.064648,tfmini,314,1796
4.066104,tfmini,313,1796
4.073492,tfmini,314,1803
4.075200,tfmini,314,1806
4.087912,tfmini,313,1796
4.090312,tfmini,313,1919
4.093576,tfmini,313,1918
4.100232,tfmini,314,1914
4.103352,tfmini,314,1796
4.106880,tfmini,314,1814
4.109632,tfmini,313,1910
4.115416,tfmini,314,39175
4.127008,tfmini,314,1812
4.140360,tfmini,314,1792
4.154472,tfmini,314,1915
4.156864,tfmini,313,1802
4.158288,tfmini,313,1802
4.176224,tfmini,313,1794
4.186416,tfmini,313,1919
4.190768,tfmini,314,1901
4.194288,tfmini,314,1806
4.198148,tfmini,314,1794
