timestamp_sec,source,alue1,value2
969.341125,laser,435,
969.350463,tfmini,309,1780
969.352050,tfmini,309,1780
969.356506,tfmini,309,1779
969.359130,tfmini,309,1762
969.361877,tfmini,309,1772
969.366210,tfmini,309,39404
969.368774,tfmini,308,1782
969.370300,tfmini,308,1784
969.371826,tfmini,308,22790
969.378112,tfmini,309,1783
969.379760,tfmini,309,1776
969.392211,tfmini,309,1773
969.395690,tfmini,309,1789
969.415466,tfmini,308,1787
969.421203,tfmini,308,1781
969.427795,tfmini,309,1788
969.431823,tfmini,309,1793
969.450988,tfmini,309,1798
969.464050,tfmini,309,1792
969.468750,tfmini,309,1810
969.473510,tfmini,308,1802
969.475158,tfmini,308,1799
969.484802,tfmini,309,1824
969.487243,tfmini,309,1818
969.496582,tfmini,308,1790
969.499206,tfmini,308,1813
969.503662,tfmini,308,1812
969.506774,tfmini,308,1794
969.508300,tfmini,308,22873
969.517028,tfmini,308,1820
969.519287,tfmini,309,1809
969.525634,tfmini,309,23001
969.529052,tfmini,308,1817
969.531494,tfmini,308,1816
969.536682,tfmini,309,1819
969.540649,tfmini,22785,13465
969.542663,tfmini,308,1819
969.547729,tfmini,309,1817
969.550354,tfmini,39175,13657
969.556701,tfmini,6710,39321
969.568176,tfmini,309,1802
969.569641,tfmini,309,1831
969.573181,tfmini,309,1827
969.577697,tfmini,309,1811
969.582946,tfmini,308,1803
969.585327,tfmini,308,1805
969.595825,tfmini,308,1810
969.601257,tfmini,308,1823
969.613830,tfmini,309,1812
969.616333,tfmini,310,1813
969.631958,tfmini,308,1801
969.636352,tfmini,309,1822
969.652893,tfmini,310,1821
969.661193,tfmini,309,22937
969.666320,tfmini,308,1819
969.679504,tfmini,309,1802
969.688049,tfmini,308,39169
969.691955,tfmini,309,1805
969.702270,tfmini,309,1789
969.704895,tfmini,309,1789
969.709289,tfmini,308,1796
969.723388,tfmini,308,1781
969.726989,tfmini,309,1782
969.741760,tfmini,310,1762
969.743286,tfmini,310,1762
969.754028,tfmini,308,1788
969.756530,tfmini,308,1769
969.762939,tfmini,62517,22937
969.769592,tfmini,308,1766
969.782714,tfmini,309,1788
969.786315,tfmini,309,1778
969.791870,tfmini,309,39321
969.803405,tfmini,309,1783
969.811096,tfmini,309,1774
969.819091,tfmini,309,22873
969.824035,tfmini,309,1782
969.828002,tfmini,309,1787
969.830444,tfmini,309,1782
969.831909,tfmini,309,1782
969.835754,tfmini,309,1787
969.839843,tfmini,308,1784
969.841491,tfmini,308,1792
969.843017,tfmini,309,1805
969.845520,tfmini,309,22791
969.851074,tfmini,309,1794
969.852600,tfmini,309,1792
969.867004,tfmini,309,1792
969.879394,tfmini,309,1804
969.881774,tfmini,309,1816
969.895202,tfmini,308,1815
969.897583,tfmini,308,1815
969.902893,tfmini,308,1810
969.904418,tfmini,308,22791
969.907287,tfmini,308,1819
969.909790,tfmini,308,1799
969.912170,tfmini,308,1803
969.924377,tfmini,309,1817
969.937561,tfmini,309,1813
969.953552,tfmini,309,1814
969.960205,tfmini,308,1813
969.961730,tfmini,308,1825
969.965820,tfmini,309,1823
969.977355,tfmini,309,1827
969.985778,tfmini,309,2332
970.006103,tfmini,308,1807
970.023193,tfmini,309,1808
970.027709,tfmini,309,1812
970.035583,tfmini,308,39202
970.040710,tfmini,308,1810
970.047363,tfmini,309,1821
970.048889,tfmini,309,1800
970.051940,tfmini,309,1829
970.057006,tfmini,308,1816
970.077819,tfmini,308,1829
970.089538,tfmini,309,1814
970.117492,tfmini,309,1778
970.122924,tfmini,309,1800
970.126464,tfmini,308,63481
970.132080,tfmini,309,1781
970.135437,tfmini,2101,39257
970.142150,tfmini,309,1791
970.144775,tfmini,39169,13657
970.153930,tfmini,309,1780
970.164672,tfmini,308,1764
970.181091,tfmini,309,1795
970.185546,tfmini,308,1776
970.189025,tfmini,308,1785
970.192138,tfmini,308,1784
970.195861,tfmini,309,1763
970.197387,tfmini,309,1763
970.201354,tfmini,309,23034
970.207824,tfmini,309,1780
970.210754,tfmini,309,1776
970.220764,tfmini,308,1777
970.228149,tfmini,308,1766
970.245483,tfmini,309,1785
970.267272,tfmini,309,1794
970.272888,tfmini,309,1811
970.277160,tfmini,308,1797
970.280639,tfmini,308,1805
970.291931,tfmini,309,1804
970.302246,tfmini,309,1814
970.311218,tfmini,309,1804
970.338867,tfmini,309,1824
970.344360,tfmini,309,1823
