# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
time_s,rpm,height_m
-4.7612,3.9,0.0000
-4.7577,3.9,0.0000
-4.7532,3.9,0.0000
-4.7380,3.9,0.0000
-4.7325,3.9,0.0000
-4.7161,3.9,0.0000
-4.7111,3.9,0.0000
-4.7061,3.9,0.0000
-4.7045,3.9,0.0000
-4.6993,3.9,0.0000
-4.6979,3.9,0.0000
-4.6918,3.9,0.0000
-4.6825,3.9,0.0000
-4.6719,3.9,0.0000
-4.5985,3.9,0.0000
-4.5510,3.9,0.0000
-4.5455,3.9,0.0000
-4.4757,3.9,0.0000
-4.4742,3.9,0.0000
-4.4712,3.9,0.0000
-4.4584,3.9,0.0000
-4.4550,3.9,0.0000
-4.4392,3.9,0.0000
-4.4263,3.9,0.0000
-4.3584,3.9,0.0000
-4.3278,3.9,0.0000
-4.3263,3.9,0.0000
-4.2963,3.9,0.0000
-4.2935,3.9,0.0000
-4.2892,3.9,0.0000
-4.2191,3.9,0.0000
-4.2166,3.9,0.0000
-4.1731,3.9,0.0000
-4.1715,3.9,0.0000
-4.1632,3.9,0.0000
-4.1567,3.9,0.0000
-4.1473,3.9,0.0000
-4.0803,3.9,0.0000
-4.0580,3.9,0.0000
-4.0449,3.9,0.0000
-4.0259,3.9,0.0000
-4.0194,3.9,0.0000
-4.0179,3.9,0.0000
-3.9934,3.9,0.0000
-3.9650,3.9,0.0000
-3.8684,3.9,0.0000
-3.8661,3.9,0.0000
-3.8647,3.9,0.0000
-3.8618,3.9,0.0000
-3.8206,3.9,0.0000
-3.7742,3.9,0.0000
-3.7700,3.9,0.0000
-3.7516,3.9,0.0000
-3.7461,3.9,0.0000
-3.7373,3.9,0.0000
-3.7330,3.9,0.0000
-3.7285,3.9,0.0000
-3.7269,3.9,0.0000
-3.7020,3.9,0.0000
-3.6986,3.9,0.0000
-3.6901,3.9,0.0000
-3.6583,3.9,0.0000
-3.6396,3.9,0.0000
-3.6283,3.9,0.0000
-3.6267,3.9,0.0000
-3.6241,3.9,0.0000
-3.6207,3.9,0.0000
-3.5864,3.9,0.0000
-3.5634,3.9,0.0000
-3.5552,3.9,0.0000
-3.5414,3.9,0.0000
-3.5286,3.9,0.0000
-3.5002,3.9,0.0000
-3.4899,3.9,0.0000
-3.4884,3.9,0.0000
-3.4811,3.9,0.0000
-3.4774,3.9,0.0000
-3.4243,3.9,0.0000
-3.4076,3.9,0.0000
-3.3778,3.9,0.0000
-3.3718,3.9,0.0000
-3.3610,3.9,0.0000
-3.3577,3.9,0.0000
-3.3263,3.9,0.0000
-3.3229,3.9,0.0000
-3.2798,3.9,0.0000
-3.2678,3.9,0.0000
-3.2567,3.9,0.0000
-3.2522,3.9,0.0000
-3.2308,3.9,0.0000
-3.2087,3.9,0.0000
-3.2020,3.9,0.0000
-3.2007,3.9,0.0000
-3.1620,3.9,0.0000
-3.1570,3.9,0.0000
-3.1533,3.9,0.0000
-3.1209,3.9,0.0000
-3.1134,3.9,0.0000
-3.0538,3.9,0.0000
-3.0522,3.9,0.0000
-3.0461,3.9,0.0000
-3.0334,3.9,0.0000
-3.0227,3.9,0.0000
-3.0214,3.9,0.0000
-3.0151,3.9,0.0000
-3.0116,3.9,0.0000
-3.0012,3.9,0.0000
-2.9922,3.9,0.0000
-2.9738,3.9,0.0000
-2.9723,3.9,0.0000
-2.9568,3.9,0.0000
-2.9248,3.9,0.0000
-2.9146,3.9,0.0000
-2.9082,3.9,0.0000
-2.8939,3.9,0.0000
-2.8828,3.9,0.0000
-2.8759,3.9,0.0000
-2.8745,3.9,0.0000
-2.8123,3.9,0.0000
-2.8108,3.9,0.0000
-2.7494,3.9,0.0000
-2.7323,3.9,0.0000
-2.7297,3.9,0.0000
-2.7253,3.9,0.0000
-2.7029,3.9,0.0000
-2.7013,3.9,0.0000
-2.6857,3.9,0.0000
-2.6782,3.9,0.0000
-2.6676,3.9,0.0000
-2.6506,3.9,0.0000
-2.6396,3.9,0.0000
-2.6158,3.9,0.0000
-2.6123,3.9,0.0000
-2.5984,3.9,0.0000
-2.5958,3.9,0.0000
-2.5892,3.9,0.0000
-2.5720,3.9,0.0000
-2.5360,3.9,0.0000
-2.5294,3.9,0.0000
-2.5264,3.9,0.0000
-2.5132,3.9,0.0000
-2.5085,3.9,0.0000
-2.5061,3.9,0.0000
-2.5012,3.9,0.0000
-2.4939,3.9,0.0000
-2.4916,3.9,0.0000
-2.4829,3.9,0.0000
-2.4805,3.9,0.0000
-2.4778,3.9,0.0000
-2.4677,3.9,0.0000
-2.4662,3.9,0.0000
-2.4628,3.9,0.0000
-2.4612,3.9,0.0000
-2.4567,3.9,0.0000
-2.4343,3.9,0.0000
-2.4280,3.9,0.0000
-2.4175,3.9,0.0000
-2.3777,3.9,0.0000
-2.3752,3.9,0.0000
-2.3699,3.9,0.0000
-2.3451,3.9,0.0000
-2.3396,3.9,0.0000
-2.3381,3.9,0.0000
-2.3097,3.9,0.0000
-2.3009,3.9,0.0000
-2.2933,3.9,0.0000
-2.2876,3.9,0.0000
-2.2845,3.9,0.0000
-2.2692,3.9,0.0000
-2.2616,3.9,0.0000
-2.2566,3.9,0.0000
-2.2501,3.9,0.0000
-2.2477,3.9,0.0000
-2.2455,3.9,0.0000
-2.2267,3.9,0.0000
-2.2162,3.9,0.0000
-2.2136,3.9,0.0000
-2.2091,3.9,0.0000
-2.2043,3.9,0.0000
-2.1941,3.9,0.0000
-2.1918,3.9,0.0000
-2.1891,3.9,0.0000
-2.1803,3.9,0.0000
-2.1771,3.9,0.0000
-2.1088,3.9,0.0000
-2.0742,3.9,0.0000
-2.0646,3.9,0.0000
-2.0547,3.9,0.0000
-2.0511,3.9,0.0000
-2.0426,3.9,0.0000
-2.0321,3.9,0.0000
-2.0304,3.9,0.0000
-1.6951,12.1,0.0000
-1.6445,19.4,0.0000
-1.6389,20.2,0.0000
-1.6373,20.4,0.0000
-1.6349,20.8,0.0000
-1.6310,21.3,0.0000
-1.6147,23.6,0.0000
-1.5983,26.0,0.0000
-1.5505,32.9,0.0000
-1.3709,71.4,0.0000
-1.2130,81.7,0.0000
-1.1307,92.3,0.0000
-1.0950,99.6,0.0000
-1.0902,100.6,0.0000
-1.0394,107.2,0.0000
-1.0178,108.9,0.0000
-0.9886,111.2,0.0000
-0.9854,111.5,0.0000
-0.9150,127.3,0.0000
-0.9050,130.3,0.0000
-0.8103,137.9,0.0000
-0.7246,141.5,0.0000
-0.6609,163.7,0.0000
-0.6584,164.9,0.0000
-0.6443,171.6,0.0000
-0.5886,176.8,0.0000
-0.5873,176.8,0.0000
-0.5858,176.9,0.0000
-0.5093,177.4,0.0000
-0.4467,178.8,0.0000
-0.3237,201.2,0.0000
-0.3202,201.8,0.0000
-0.2795,209.4,0.0000
-0.2106,215.7,0.0000
-0.2061,215.9,0.0000
-0.2046,215.9,0.0000
-0.1537,223.5,0.0000
-0.1511,223.9,0.0000
-0.0015,245.8,0.0000
0.0000,246.2,0.0000
0.0527,248.4,0.0104
0.0946,253.5,0.0202
0.0970,253.8,0.0230
0.1383,265.0,0.0188
0.1824,264.6,0.0076
0.1849,264.4,0.0000
0.1874,264.3,0.0000
0.2296,279.3,0.0000
0.3151,287.0,0.0000
0.3204,286.7,0.0000
0.3528,280.0,0.0000
0.3584,278.8,0.0000
0.4021,305.2,0.0000
0.4272,304.6,0.0000
0.4304,304.5,0.0000
0.4319,304.5,0.0000
0.4370,304.4,0.0000
0.4406,304.2,0.0000
0.5193,307.0,0.0000
0.5566,324.4,0.0000
0.6631,321.3,0.0000
0.7035,335.9,0.0000
0.7351,344.4,0.0000
0.7406,344.9,0.0000
0.7974,346.7,0.0000
0.8002,346.9,0.0000
0.8401,341.6,0.0000
0.8428,341.9,0.0000
0.8770,355.1,0.0000
0.9156,360.8,0.0000
0.9432,368.2,0.0000
1.0135,370.8,0.0000
1.0409,376.1,0.0000
1.0455,377.6,0.0000
1.0719,385.3,0.0000
1.1359,387.8,0.0000
1.2551,408.1,0.0000
1.3390,411.0,0.0000
1.3417,412.0,0.0000
1.4315,424.5,0.0000
1.4331,424.8,0.0000
1.4891,433.4,0.0000
1.5398,437.5,0.0000
1.5424,436.6,0.0058
1.6228,454.6,0.0313
1.6730,441.8,0.0582
1.6755,447.0,0.0837
1.6780,451.9,0.1046
1.7280,461.5,0.1280
1.7809,473.4,0.1282
1.8787,480.3,0.1050
1.9050,477.2,0.0857
1.9307,504.2,0.0639
2.0500,519.9,0.0386
2.1438,516.3,0.0130
2.1464,516.9,0.0000
2.1887,515.2,0.0000
2.2325,518.0,0.0000
2.2821,557.4,0.0000
2.3026,537.5,0.0000
2.3890,531.9,0.0000
2.3909,535.0,0.0000
2.4099,561.3,0.0000
2.5023,560.7,0.0000
2.5201,572.9,0.0000
2.5405,567.4,0.0000
2.5619,567.7,0.0000
2.5654,569.4,0.0000
2.5963,574.9,0.0000
2.6249,576.9,0.0000
2.6273,577.7,0.0000
2.6893,587.1,0.0014
2.7478,579.0,0.0180
2.7518,592.5,0.0337
2.7682,618.8,0.0466
2.8094,599.4,0.0548
2.8691,629.9,0.0565
2.9020,804.8,0.0497
2.9312,936.5,0.0497
2.9517,1082.2,0.0497
2.9543,1065.6,0.0565
2.9690,1211.0,0.0548
3.0438,1371.6,0.0466
3.0499,1501.0,0.0337
3.0856,1892.5,0.0180
3.1146,1854.7,0.0014
3.2656,1708.0,0.0000
3.5096,2505.5,0.0000
