# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Achieved Max height at 3500 RPM
time_s,rpm,height_m
0.0000,1601.0,0.0000
0.1637,1601.0,0.0000
0.1705,1601.0,0.0000
0.4771,1601.0,0.0000
0.5558,1601.0,0.0000
0.5599,1601.0,0.0000
0.6407,1601.0,0.0059
0.7187,1601.0,0.0044
0.7201,1601.0,0.0000
0.7235,1601.0,0.0000
0.7899,1601.0,0.0000
0.8626,1601.0,0.0000
0.8649,1601.0,0.0000
0.8665,1601.0,0.0000
0.9289,1601.0,0.0000
0.9324,1601.0,0.0000
0.9967,1601.0,0.0000
1.0008,1601.0,0.0000
1.0557,1601.0,0.0000
1.0622,1601.0,0.0000
1.1772,1601.0,0.0000
1.2394,1601.0,0.0000
1.2945,1601.0,0.0000
1.2988,1601.0,0.0000
1.3459,1601.0,0.0000
1.3484,1601.0,0.0000
1.4550,1601.0,0.0000
1.5545,1601.0,0.0000
1.6016,1601.0,0.0000
1.6039,1601.0,0.0000
1.6519,1601.0,0.0000
1.6559,1601.0,0.0000
1.6960,1601.0,0.0000
1.7473,1601.0,0.0000
1.7932,1601.0,0.0000
1.8813,1601.0,0.0000
1.9679,1601.0,0.0000
2.0506,1601.0,0.0000
2.0845,1601.0,0.0000
2.1269,1601.0,0.0000
2.1639,1601.0,0.0000
2.1714,1601.0,0.0000
2.2418,1601.0,0.0000
2.2830,1601.0,0.0000
2.2852,1601.0,0.0000
2.3183,1601.0,0.0000
2.3218,1601.0,0.0000
2.4287,1601.0,0.0000
2.5383,1601.0,0.0000
2.5408,1601.0,0.0000
2.5728,1601.0,0.0000
2.6043,1601.0,0.0000
2.6708,1601.0,0.0022
2.6733,1601.0,0.0032
2.7072,1601.0,0.0000
2.7086,1601.0,0.0000
2.7101,1601.0,0.0000
2.7434,1601.0,0.0000
2.8085,1601.0,0.0000
2.8107,1601.0,0.0000
2.8385,1601.0,0.0000
2.8428,1601.0,0.0000
2.8739,1601.0,0.0000
2.9302,1601.0,0.0000
2.9992,1601.0,0.0000
3.1179,1601.0,0.0000
3.1787,1601.0,0.0000
3.2384,1601.0,0.0000
3.2681,1601.0,0.0000
3.2696,1601.0,0.0000
3.3212,1601.0,0.0000
3.3542,1601.0,0.0262
3.3780,1601.0,0.0407
3.4348,1601.0,0.0369
3.4362,1601.0,0.0146
3.4880,1601.0,0.0000
3.4924,1601.0,0.0000
3.5686,1601.0,0.0000
3.5734,1601.0,0.0000
3.7012,1601.0,0.0000
3.7027,1601.0,0.0000
3.7328,1601.0,0.0000
3.7498,1601.0,0.0000
3.7806,1601.0,0.0000
