# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Reached max height, 5000, 5500, 6000 were thus skipped
time_s,rpm,height_m
-5.9820,2340.6,0.0000
-5.9805,2340.6,0.0000
-5.9744,2340.6,0.0000
-5.8834,2340.6,0.0000
-5.8809,2340.6,0.0000
-5.8795,2340.6,0.0000
-5.8771,2340.6,0.0000
-5.5854,2340.6,0.0000
-5.5834,2340.6,0.0000
-5.5800,2340.6,0.0000
-5.3835,2340.6,0.0000
-5.2788,2340.6,0.0000
-5.2210,2340.6,0.0000
-5.2186,2340.6,0.0000
-4.9453,2340.6,0.0000
-4.8276,2340.6,0.0000
-4.7245,2340.6,0.0000
-4.6446,2340.6,0.0000
-4.6230,2340.6,0.0000
-4.6215,2340.6,0.0000
-4.4355,2340.6,0.0000
-4.3724,2340.6,0.0000
-4.3561,2340.6,0.0000
-4.2715,2340.6,0.0000
-4.1959,2340.6,0.0000
-4.1172,2340.6,0.0000
-4.0619,2340.6,0.0000
-4.0485,2340.6,0.0000
-4.0470,2340.6,0.0000
-3.9812,2340.6,0.0000
-3.9089,2340.6,0.0000
-3.8463,2340.6,0.0000
-3.7140,2340.6,0.0000
-3.6683,2340.6,0.0000
-3.5974,2340.6,0.0000
-3.5370,2340.6,0.0000
-3.5331,2340.6,0.0000
-3.4787,2340.6,0.0000
-3.4772,2340.6,0.0000
-3.4207,2340.6,0.0000
-3.4192,2340.6,0.0000
-3.4177,2340.6,0.0000
-3.2625,2340.6,0.0000
-3.2601,2340.6,0.0000
-3.1685,2340.6,0.0000
-3.1556,2340.6,0.0000
-3.1094,2340.6,0.0000
-3.0540,2340.6,0.0000
-3.0081,2340.6,0.0000
-2.9614,2340.6,0.0000
-2.9599,2340.6,0.0000
-2.9111,2340.6,0.0000
-2.8614,2340.6,0.0000
-2.8173,2340.6,0.0000
-2.7818,2340.6,0.0000
-2.7296,2340.6,0.0000
-2.7270,2340.6,0.0000
-2.7255,2340.6,0.0000
-2.6833,2340.6,0.0000
-2.6785,2340.6,0.0000
-2.6507,2340.6,0.0000
-2.5922,2340.6,0.0000
-2.5906,2340.6,0.0000
-2.5173,2340.6,0.0000
-2.5124,2340.6,0.0000
-2.5072,2340.6,0.0000
-2.4663,2340.6,0.0000
-2.4373,2340.6,0.0000
-2.3856,2340.6,0.0000
-2.3503,2340.6,0.0000
-2.3479,2340.6,0.0000
-2.3455,2340.6,0.0000
-2.3086,2340.6,0.0000
-2.1855,2340.6,0.0000
-2.1821,2340.6,0.0000
-2.0830,2340.6,0.0000
-1.9952,2340.6,0.0000
-1.8922,2340.6,0.0000
-1.8886,2340.6,0.0000
-1.8524,2340.6,0.0000
-1.8499,2340.6,0.0000
-1.8246,2340.6,0.0000
-1.7891,2340.6,0.0000
-1.7083,2340.6,0.0000
-1.6392,2340.6,0.0000
-1.6378,2340.6,0.0000
-1.6038,2340.6,0.0000
-1.5764,2340.6,0.0000
-1.5475,2340.6,0.0000
-1.5380,2340.6,0.0000
-1.3953,2340.6,0.0000
-1.3909,2340.6,0.0000
-1.3016,2340.6,0.0000
-1.2990,2340.6,0.0000
-1.2869,2340.6,0.0000
-1.2834,2340.6,0.0000
-1.2820,2340.6,0.0000
-1.2795,2340.6,0.0000
-1.2560,2340.6,0.0000
-1.2249,2340.6,0.0000
-1.2235,2340.6,0.0000
-1.2053,2340.6,0.0000
-1.2018,2340.6,0.0000
-1.1817,2340.6,0.0000
-1.1766,2340.6,0.0000
-1.1608,2340.6,0.0000
-1.1584,2340.6,0.0000
-1.1424,2340.6,0.0000
-1.1144,2340.6,0.0000
-1.0773,2340.6,0.0000
-1.0739,2340.6,0.0000
-1.0598,2340.6,0.0000
-1.0574,2340.6,0.0000
-1.0539,2340.6,0.0000
-1.0380,2340.6,0.0000
-1.0312,2340.6,0.0000
-0.9786,2340.6,0.0000
-0.9559,2340.6,0.0000
-0.9544,2340.6,0.0000
-0.9510,2340.6,0.0000
-0.9203,2340.6,0.0000
-0.8713,2340.6,0.0000
-0.8596,2340.6,0.0000
-0.8572,2340.6,0.0000
-0.8519,2340.6,0.0000
-0.8504,2340.6,0.0000
-0.8184,2340.6,0.0000
-0.8141,2340.6,0.0000
-0.7970,2340.6,0.0000
-0.7759,2340.6,0.0000
-0.7735,2340.6,0.0000
-0.7711,2340.6,0.0000
-0.7516,2340.6,0.0000
-0.7493,2340.6,0.0000
-0.7376,2340.6,0.0000
-0.7324,2340.6,0.0000
-0.7294,2340.6,0.0000
-0.6474,2340.6,0.0000
-0.6339,2340.6,0.0000
-0.6306,2340.6,0.0000
-0.6094,2340.6,0.0000
-0.5864,2340.6,0.0000
-0.5699,2340.6,0.0000
-0.5541,2340.6,0.0000
-0.5325,2340.6,0.0000
-0.5264,2340.6,0.0000
-0.5098,2340.6,0.0000
-0.5074,2340.6,0.0000
-0.4928,2340.6,0.0000
-0.4744,2340.6,0.0000
-0.4721,2340.6,0.0000
-0.4666,2340.6,0.0000
-0.4458,2340.6,0.0000
-0.4305,2340.6,0.0000
-0.4240,2340.6,0.0000
-0.4075,2340.6,0.0000
-0.4061,2340.6,0.0000
-0.3673,2340.6,0.0000
-0.3499,2340.6,0.0000
-0.3328,2340.6,0.0000
-0.3304,2340.6,0.0000
-0.3259,2340.6,0.0000
-0.3126,2340.6,0.0000
-0.2860,2340.6,0.0000
-0.2679,2340.6,0.0000
-0.2665,2340.6,0.0000
-0.2487,2340.6,0.0000
-0.2473,2340.6,0.0000
-0.2227,2340.6,0.0000
-0.2037,2340.6,0.0000
-0.1899,2340.6,0.0000
-0.1885,2340.6,0.0000
-0.1810,2340.6,0.0000
-0.1448,2340.6,0.0000
-0.1076,2340.6,0.0000
-0.0994,2340.6,0.0000
-0.0616,2340.6,0.0000
-0.0464,2340.6,0.0000
-0.0421,2340.6,0.0000
-0.0205,2340.6,0.0000
-0.0079,2340.6,0.0000
-0.0045,2340.6,0.0000
0.0000,2340.6,0.0000
0.0578,2340.6,0.0034
0.0778,2340.6,0.0025
