timestamp_sec,source,value1,value2
372.533782,laser,7,
372.547332,tfmini,302,1580
372.552978,tfmini,292,1570
372.555633,tfmini,289,1559
372.561676,tfmini,286,39377
372.568817,tfmini,301,1744
372.581909,tfmini,286,1632
372.583496,tfmini,285,1618
372.594451,tfmini,283,1621
372.602569,tfmini,22813,7577
372.604583,tfmini,284,1597
372.611022,tfmini,276,1629
372.613494,tfmini,275,1572
372.620300,tfmini,300,1797
372.623382,tfmini,299,1570
372.637512,tfmini,294,1744
372.641021,tfmini,296,1736
372.642547,tfmini,296,1736
372.657653,tfmini,285,1662
372.659210,tfmini,285,1650
372.664520,tfmini,288,1559
372.668090,tfmini,10329,54785
372.678405,tfmini,308,1817
372.700317,tfmini,300,1744
372.703857,tfmini,298,1593
372.705444,tfmini,298,1749
372.707672,tfmini,10841,14849
372.711944,tfmini,296,1582
372.716674,tfmini,291,39257
372.719604,tfmini,291,1758
372.722503,tfmini,293,1771
372.728515,tfmini,307,1772
372.747924,tfmini,301,1770
372.749481,tfmini,302,1770
372.758819,tfmini,291,1645
372.760314,tfmini,289,1623
372.767822,tfmini,283,1627
372.773223,tfmini,282,1629
372.774780,tfmini,281,1649
372.782989,tfmini,2328,39321
372.787200,tfmini,280,1626
372.794097,tfmini,278,1604
372.797943,tfmini,278,1608
372.814239,tfmini,300,1742
372.815765,tfmini,299,1731
372.837097,tfmini,293,1737
372.840545,tfmini,296,1755
372.842071,tfmini,298,1758
372.857116,tfmini,302,1749
372.869171,tfmini,291,1598
372.876525,tfmini,289,1599
372.882202,tfmini,291,1734
372.890563,tfmini,294,1743
372.901611,tfmini,289,1594
372.910644,tfmini,293,1762
372.914245,tfmini,297,1770
372.929534,tfmini,291,1574
372.931030,tfmini,290,1569
372.933685,tfmini,289,1588
372.935211,tfmini,288,1588
372.938568,tfmini,288,1739
372.942016,tfmini,293,1593
372.944549,tfmini,39257,298
372.946990,tfmini,300,1596
372.950958,tfmini,299,1551
372.955657,tfmini,285,22847
372.957641,tfmini,281,1610
372.965820,tfmini,290,1538
372.970275,tfmini,293,1657
372.972747,tfmini,292,1636
372.975280,tfmini,291,1607
372.980224,tfmini,281,1601
372.982330,tfmini,277,1594
372.986999,tfmini,279,1579
372.995239,tfmini,300,35010
373.019042,tfmini,302,1757
373.024322,tfmini,295,1582
373.028320,tfmini,288,1545
373.046020,tfmini,303,1768
373.054626,tfmini,304,1770
373.067321,tfmini,302,1742
373.068878,tfmini,302,1742
373.072357,tfmini,302,1590
373.074981,tfmini,301,1596
373.081420,tfmini,296,39257
373.084045,tfmini,291,1550
373.090698,tfmini,288,1566
373.093048,tfmini,289,22842
373.097290,tfmini,296,1782
373.101379,tfmini,306,1807
373.105346,tfmini,305,1585
373.111877,tfmini,287,1573
373.129058,tfmini,302,1733
373.136291,tfmini,298,1556
373.139160,tfmini,293,1656
373.143737,tfmini,285,1629
373.151092,tfmini,278,1593
373.160675,tfmini,279,1605
373.165130,tfmini,280,1621
373.175506,tfmini,288,1553
373.185424,tfmini,304,1767
373.200225,tfmini,283,1556
373.206604,tfmini,285,1546
373.209075,tfmini,286,6947
373.222137,tfmini,302,1788
373.225646,tfmini,304,1777
373.248321,tfmini,298,1747
373.255554,tfmini,295,1736
373.261474,tfmini,288,1737
373.266296,tfmini,285,1573
373.272125,tfmini,286,1572
373.278198,tfmini,287,1755
373.281097,tfmini,288,1755
373.283569,tfmini,8857,40449
373.319366,tfmini,302,1747
373.320892,tfmini,302,1747
373.326446,tfmini,291,1613
373.342193,tfmini,286,1604
373.347015,tfmini,282,1622
373.348541,tfmini,280,1619
373.362121,tfmini,291,1581
373.372161,tfmini,299,1732
373.375640,tfmini,293,1581
373.380828,tfmini,6173,22793
373.389587,tfmini,39169,11353
373.396514,tfmini,301,1745
373.398956,tfmini,1577,22937
373.410522,tfmini,288,1553
373.424591,tfmini,303,1752
373.427185,tfmini,303,1753
373.436553,tfmini,303,1748
373.449249,tfmini,298,1559
373.460296,tfmini,286,1575
373.462799,tfmini,286,1597
373.465301,tfmini,286,1753
373.475830,tfmini,303,1589
373.480590,tfmini,293,1543
373.489990,tfmini,284,1734
373.504791,tfmini,303,1773
373.514923,tfmini,299,1542
373.516448,tfmini,298,1659
373.519836,tfmini,293,1652
373.532684,tfmini,283,1645
373.541748,tfmini,289,1546
373.549957,tfmini,302,59616
373.552276,tfmini,304,1747
373.555908,tfmini,304,1763
373.560638,tfmini,11929,38913
373.576171,tfmini,283,1572
373.582916,tfmini,285,1557
373.584472,tfmini,285,1578
373.587463,tfmini,287,1566
373.594818,tfmini,293,1744
373.605255,tfmini,304,1827
373.616027,tfmini,306,1801
373.619598,tfmini,304,1757
373.623352,tfmini,301,1743
373.629882,tfmini,292,1589
373.634429,tfmini,287,1593
373.653747,tfmini,288,1741
373.666717,tfmini,300,1764
373.671264,tfmini,301,1748
373.676086,tfmini,298,1591
373.678527,tfmini,293,1572
373.687561,tfmini,289,1742
373.689910,tfmini,296,1782
373.703308,tfmini,281,1614
373.711883,tfmini,19475,39321
373.736450,tfmini,292,1593
373.740539,tfmini,299,1743
373.757812,tfmini,286,1576
373.784759,tfmini,287,1558
373.791168,tfmini,294,1563
373.798217,tfmini,298,1731
373.812530,tfmini,301,1738
373.815002,tfmini,301,1588
373.823608,tfmini,297,1571
373.839233,tfmini,294,1798
373.852050,tfmini,296,1563
373.856597,tfmini,288,1561
373.866210,tfmini,282,1580
373.870666,tfmini,288,1728
373.874176,tfmini,294,1752
373.879699,tfmini,302,1765
373.891876,tfmini,296,1543
373.894226,tfmini,294,1551
373.896759,tfmini,292,1659
373.899230,tfmini,290,1660
373.902465,tfmini,288,1660
373.904388,tfmini,289,1536
373.933685,tfmini,302,1750
373.937164,tfmini,301,1739
373.958404,tfmini,283,1585
373.976226,tfmini,288,1740
373.983673,tfmini,299,1798
373.987670,tfmini,305,1823
374.002136,tfmini,297,1734
374.003662,tfmini,295,1734
374.006134,tfmini,293,1745
374.020904,tfmini,286,1582
374.030700,tfmini,288,1740
374.044738,tfmini,301,1743
374.054840,tfmini,284,1592
374.063110,tfmini,294,39400
374.067260,tfmini,300,1770
374.075714,tfmini,301,39219
374.107177,tfmini,297,1572
374.110656,tfmini,299,1570
374.114227,tfmini,300,1732
374.115783,tfmini,300,1732
374.124298,tfmini,8089,9217
374.130859,tfmini,282,1643
374.139434,tfmini,303,2345
374.143768,tfmini,308,1811
374.149475,tfmini,301,1746
374.152618,tfmini,295,39225
374.155822,tfmini,291,1571
374.167633,tfmini,293,1570
374.176574,tfmini,298,1595
374.187805,tfmini,302,1580
374.193084,tfmini,296,1553
374.209411,tfmini,290,1747
374.212982,tfmini,296,1780
374.218811,tfmini,304,1781
374.233276,tfmini,287,1550
374.236602,tfmini,282,1558
374.241088,tfmini,279,1570
374.251831,tfmini,299,1784
374.258239,tfmini,304,1778
374.267211,tfmini,305,1762
374.280792,tfmini,305,1765
374.285217,tfmini,12697,36353
374.302856,tfmini,301,1729
374.305358,tfmini,301,1736
374.307739,tfmini,300,1737
374.313659,tfmini,297,1740
374.316619,tfmini,293,39222
374.318786,tfmini,291,1593
374.327117,tfmini,22785,7577
374.332153,tfmini,283,1587
374.333740,tfmini,283,1587
374.336822,tfmini,281,22794
374.341705,tfmini,280,1655
374.344421,tfmini,281,1649
374.347381,tfmini,283,1662
374.351470,tfmini,286,1580
374.354553,tfmini,289,1740
374.357055,tfmini,2340,39257
374.359039,tfmini,296,1759
374.367034,tfmini,304,39321
374.391967,tfmini,288,1594
374.393463,tfmini,288,1579
374.405120,tfmini,291,1757
374.409454,tfmini,296,1747
374.412933,tfmini,300,1751
374.414459,tfmini,52225,22937
374.416625,tfmini,301,1740
374.430694,tfmini,278,1570
374.439361,tfmini,296,1783
374.440887,tfmini,298,1810
374.477325,tfmini,299,1580
374.479797,tfmini,301,1583
374.481384,tfmini,301,1743
374.494079,tfmini,297,1580
374.495574,tfmini,294,1580
374.505065,tfmini,281,1644
374.510437,tfmini,290,1599
374.515380,tfmini,301,1761
374.523406,tfmini,305,23034
374.525573,tfmini,303,1771
374.532012,tfmini,294,22937
374.546813,tfmini,291,1567
374.548309,tfmini,292,1563
374.556915,tfmini,292,1554
374.561126,tfmini,289,1554
374.565948,tfmini,287,1553
374.569580,tfmini,287,22810
374.577209,tfmini,286,1751
374.590545,tfmini,302,1797
374.598144,tfmini,306,1750
374.617218,tfmini,279,1585
374.619812,tfmini,282,1730
374.626373,tfmini,39169,9881
374.633575,tfmini,300,1769
374.635620,tfmini,302,1777
374.639129,tfmini,303,1786
374.647613,tfmini,305,39412
374.653472,tfmini,304,1760
374.670745,tfmini,301,1739
374.673217,tfmini,302,1597
374.680511,tfmini,300,1597
374.682037,tfmini,299,39257
374.692474,tfmini,291,1741
374.697052,tfmini,291,1730
374.702148,tfmini,288,1733
374.705993,tfmini,287,1595
374.711822,tfmini,285,1554
374.725952,laser,982,
374.742980,tfmini,301,1792
374.747558,tfmini,305,1787
374.749084,tfmini,306,1776
374.763977,tfmini,294,1759
374.789916,tfmini,301,1731
374.791412,tfmini,299,1731
374.800506,tfmini,277,1551
374.814819,tfmini,296,1774
374.817047,tfmini,299,1767
374.828460,tfmini,301,1736
374.858489,tfmini,307,1784
374.865814,tfmini,300,1728
374.868041,tfmini,296,1587
374.872589,tfmini,290,1545
374.874114,tfmini,289,1545
374.882690,tfmini,6170,22937
374.885925,tfmini,284,1550
374.892547,tfmini,298,1748
374.894836,tfmini,300,2529
374.924530,tfmini,288,1576
374.946350,tfmini,289,1733
374.961334,tfmini,300,1793
374.979400,tfmini,290,1570
374.998413,tfmini,278,1729
374.999877,laser,812,
375.004882,tfmini,286,1592
375.009338,tfmini,295,1738
375.021057,tfmini,302,1756
375.025329,tfmini,304,1800
375.033843,tfmini,308,1783
375.039489,tfmini,301,1549
375.043334,tfmini,288,1623
375.055633,tfmini,276,1602
375.059234,tfmini,278,1610
375.060791,tfmini,279,1615
375.065216,tfmini,282,39273
375.079559,tfmini,302,1777
375.081085,tfmini,302,1777
375.086608,tfmini,301,1732
375.091064,tfmini,298,1740
375.092620,tfmini,296,1595
375.096191,tfmini,292,39223
375.101928,tfmini,284,1662
375.119018,tfmini,297,1781
375.122619,tfmini,300,1799
375.127075,tfmini,301,1783
375.131622,tfmini,301,1785
375.142089,tfmini,299,1775
375.146484,tfmini,299,1787
375.152526,tfmini,299,1780
375.157348,tfmini,298,1774
375.164337,tfmini,289,1735
375.165893,tfmini,287,22873
375.171020,tfmini,277,1576
375.174957,tfmini,22808,2713
375.182647,tfmini,266,1591
375.188201,tfmini,272,1766
375.192077,tfmini,274,1785
375.194549,tfmini,275,1778
