# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Motor did weird noises starting from 4000 rpm
time_s,rpm,height_m
-6.6490,3277.3,0.0000
-6.6476,3277.3,0.0000
-6.4055,3277.3,0.0000
-6.3676,3277.3,0.0000
-6.3661,3277.3,0.0000
-6.2004,3277.3,0.0000
-6.0630,3277.3,0.0000
-6.0596,3277.3,0.0000
-6.0552,3277.3,0.0000
-5.9339,3277.3,0.0000
-5.9317,3277.3,0.0000
-5.9274,3277.3,0.0000
-5.7225,3277.3,0.0000
-5.6238,3277.3,0.0000
-5.6196,3277.3,0.0000
-5.5466,3277.3,0.0000
-5.4797,3277.3,0.0000
-5.4783,3277.3,0.0000
-5.3875,3277.3,0.0000
-5.3851,3277.3,0.0000
-5.3229,3277.3,0.0000
-5.3044,3277.3,0.0000
-5.2412,3277.3,0.0000
-5.2362,3277.3,0.0000
-5.1851,3277.3,0.0000
-5.0421,3277.3,0.0000
-5.0379,3277.3,0.0000
-4.9783,3277.3,0.0000
-4.9348,3277.3,0.0000
-4.9334,3277.3,0.0000
-4.9283,3277.3,0.0000
-4.9238,3277.3,0.0000
-4.8030,3277.3,0.0000
-4.7590,3277.3,0.0000
-4.7535,3277.3,0.0000
-4.7139,3277.3,0.0000
-4.7031,3277.3,0.0000
-4.7007,3277.3,0.0000
-4.6599,3277.3,0.0000
-4.6110,3277.3,0.0000
-4.6019,3277.3,0.0000
-4.5953,3277.3,0.0000
-4.5449,3277.3,0.0000
-4.5011,3277.3,0.0000
-4.4562,3277.3,0.0000
-4.4151,3277.3,0.0000
-4.3578,3277.3,0.0000
-4.3209,3277.3,0.0000
-4.3171,3277.3,0.0000
-4.3090,3277.3,0.0000
-4.2786,3277.3,0.0000
-4.2654,3277.3,0.0000
-4.2363,3277.3,0.0000
-4.2267,3277.3,0.0000
-4.2253,3277.3,0.0000
-4.2219,3277.3,0.0000
-4.1946,3277.3,0.0000
-4.1913,3277.3,0.0000
-4.1899,3277.3,0.0000
-4.1876,3277.3,0.0000
-4.1813,3277.3,0.0000
-4.1442,3277.3,0.0000
-4.1359,3277.3,0.0000
-4.1089,3277.3,0.0000
-4.1019,3277.3,0.0000
-4.0602,3277.3,0.0000
-4.0542,3277.3,0.0000
-4.0176,3277.3,0.0000
-4.0142,3277.3,0.0000
-3.9741,3277.3,0.0000
-3.9726,3277.3,0.0000
-3.9343,3277.3,0.0000
-3.8984,3277.3,0.0000
-3.8970,3277.3,0.0000
-3.8936,3277.3,0.0000
-3.8664,3277.3,0.0000
-3.8574,3277.3,0.0000
-3.8250,3277.3,0.0000
-3.7911,3277.3,0.0000
-3.7868,3277.3,0.0000
-3.7491,3277.3,0.0000
-3.7477,3277.3,0.0000
-3.7401,3277.3,0.0000
-3.7134,3277.3,0.0000
-3.7109,3277.3,0.0000
-3.7095,3277.3,0.0000
-3.7039,3277.3,0.0000
-3.6730,3277.3,0.0000
-3.6684,3277.3,0.0000
-3.6465,3277.3,0.0000
-3.6356,3277.3,0.0000
-3.6329,3277.3,0.0000
-3.6039,3277.3,0.0000
-3.5992,3277.3,0.0000
-3.5667,3277.3,0.0000
-3.5610,3277.3,0.0000
-3.5349,3277.3,0.0000
-3.5073,3277.3,0.0000
-3.4994,3277.3,0.0000
-3.4930,3277.3,0.0000
-3.4608,3277.3,0.0000
-3.4329,3277.3,0.0000
-3.4026,3277.3,0.0000
-3.3984,3277.3,0.0000
-3.3912,3277.3,0.0000
-3.3896,3277.3,0.0000
-3.3709,3277.3,0.0000
-3.3684,3277.3,0.0000
-3.3379,3277.3,0.0000
-3.3053,3277.3,0.0000
-3.2682,3277.3,0.0000
-3.2668,3277.3,0.0000
-3.2419,3277.3,0.0000
-3.2386,3277.3,0.0000
-3.2343,3277.3,0.0000
-3.2319,3277.3,0.0000
-3.2106,3277.3,0.0000
-3.2006,3277.3,0.0000
-3.1738,3277.3,0.0000
-3.1695,3277.3,0.0000
-3.1650,3277.3,0.0000
-3.1445,3277.3,0.0000
-3.1415,3277.3,0.0000
-3.1360,3277.3,0.0000
-3.1339,3277.3,0.0000
-3.1186,3277.3,0.0000
-3.1152,3277.3,0.0000
-3.0776,3277.3,0.0000
-3.0731,3277.3,0.0000
-3.0706,3277.3,0.0000
-3.0566,3277.3,0.0000
-3.0502,3277.3,0.0000
-3.0479,3277.3,0.0000
-3.0443,3277.3,0.0000
-3.0186,3277.3,0.0000
-2.9959,3277.3,0.0000
-2.9944,3277.3,0.0000
-2.9641,3277.3,0.0000
-2.9584,3277.3,0.0000
-2.9281,3277.3,0.0000
-2.9008,3277.3,0.0000
-2.8962,3277.3,0.0000
-2.8797,3277.3,0.0000
-2.8735,3277.3,0.0000
-2.8705,3277.3,0.0000
-2.8650,3277.3,0.0000
-2.8481,3277.3,0.0000
-2.8415,3277.3,0.0000
-2.8378,3277.3,0.0000
-2.8069,3277.3,0.0000
-2.7579,3277.3,0.0000
-2.7533,3277.3,0.0000
-2.7504,3277.3,0.0000
-2.7369,3277.3,0.0000
-2.7229,3277.3,0.0000
-2.7034,3277.3,0.0000
-2.7000,3277.3,0.0000
-2.6791,3277.3,0.0000
-2.6777,3277.3,0.0000
-2.6757,3277.3,0.0000
-2.6655,3277.3,0.0000
-2.6395,3277.3,0.0000
-2.6207,3277.3,0.0000
-2.6150,3277.3,0.0000
-2.5936,3277.3,0.0000
-2.5390,3277.3,0.0000
-2.5120,3277.3,0.0000
-2.5087,3277.3,0.0000
-2.4780,3277.3,0.0000
-2.4567,3277.3,0.0000
-2.4243,3277.3,0.0000
-2.3983,3277.3,0.0000
-2.3857,3277.3,0.0000
-2.3742,3277.3,0.0000
-2.3578,3277.3,0.0000
-2.3466,3277.3,0.0000
-2.3247,3277.3,0.0000
-2.3080,3277.3,0.0000
-2.3066,3277.3,0.0000
-2.2700,3277.3,0.0000
-2.2504,3277.3,0.0000
-2.2271,3277.3,0.0000
-2.2065,3277.3,0.0000
-2.1756,3277.3,0.0000
-2.1526,3277.3,0.0000
-2.1481,3277.3,0.0000
-2.1443,3277.3,0.0000
-2.1429,3277.3,0.0000
-2.1196,3277.3,0.0000
-2.1069,3277.3,0.0000
-2.1033,3277.3,0.0000
-2.0709,3277.3,0.0000
-2.0664,3277.3,0.0000
-2.0650,3277.3,0.0000
-2.0358,3277.3,0.0000
-2.0139,3277.3,0.0000
-1.9971,3277.3,0.0000
-1.9880,3277.3,0.0000
-1.8502,3277.3,0.0000
-1.7272,3252.3,0.0000
-1.2141,4426.8,0.0000
-1.0686,4421.3,0.0000
-0.3826,4495.8,0.0000
0.0000,4505.0,0.0000
0.0444,4322.3,0.0117
0.0507,4599.4,0.0214
0.2103,3963.4,0.0276
1.2451,4502.6,0.0288
1.2599,4497.4,0.0238
1.4129,3685.5,0.0238
1.6911,4339.1,0.0238
1.7369,4748.9,0.0238
1.7525,4367.1,0.0238
1.7759,4352.8,0.0238
1.8534,4539.9,0.0238
1.9175,4256.2,0.0238
2.1425,4506.6,0.0238
2.1927,4400.3,0.0221
2.4228,4098.6,0.0225
2.5176,3704.8,0.0246
2.7077,4520.2,0.0278
3.0244,4881.7,0.0317
3.1755,4029.8,0.0359
3.5735,4278.1,0.0423
4.1761,4057.2,0.0449
4.3065,4472.8,0.0438
4.3235,4529.0,0.0403
4.4174,4311.9,0.0325
4.6678,4520.5,0.0253
4.7745,4151.0,0.0178
5.4978,3762.1,0.0110
5.9800,4257.1,0.0059
6.0120,4096.1,0.0033
6.0670,3923.1,0.0042
6.2490,4360.0,0.0031
6.5135,4702.4,0.0029
6.5232,4556.0,0.0038
6.7699,3779.4,0.0038
6.9712,3201.7,0.0038
6.9727,3202.8,0.0038
7.0549,3261.1,0.0038
7.0575,3262.9,0.0021
7.0599,3264.6,0.0017
7.2513,3013.7,0.0039
7.2927,2995.9,0.0082
7.3012,2992.3,0.0137
7.4004,3333.3,0.0198
7.4029,3327.9,0.0258
7.4210,3328.2,0.0310
7.4528,3344.1,0.0346
7.4590,3347.2,0.0361
7.4606,3348.0,0.0346
7.4702,3352.8,0.0338
7.4879,3361.7,0.0338
7.4948,3365.1,0.0338
7.5292,3382.3,0.0338
7.5368,3386.1,0.0338
7.5413,3388.4,0.0338
7.6919,3241.4,0.0338
7.7064,3272.7,0.0338
7.7164,3294.4,0.0338
