# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Starting from 2500 RPMs, the motor did weird noises and the launcher was shaking
time_s,rpm,height_m
-7.7029,1697.8,0.0000
-7.5584,1697.8,0.0000
-5.4165,1697.8,0.0000
-5.3902,1697.8,0.0000
-5.3648,1697.8,0.0000
-5.3634,1697.8,0.0000
-5.3598,1697.8,0.0000
-5.3498,1697.8,0.0000
-5.3466,1697.8,0.0000
-5.2996,1697.8,0.0000
-5.2853,1697.8,0.0000
-5.2817,1697.8,0.0000
-5.2781,1697.8,0.0000
-5.2681,1697.8,0.0000
-5.2647,1697.8,0.0000
-5.2622,1697.8,0.0000
-5.2548,1697.8,0.0000
-5.2528,1697.8,0.0000
-5.2503,1697.8,0.0000
-4.8818,1697.8,0.0000
-4.8764,1697.8,0.0000
-4.7192,1697.8,0.0000
-4.7138,1697.8,0.0000
-4.7016,1697.8,0.0000
-4.4780,1697.8,0.0000
-4.4757,1697.8,0.0000
-4.4717,1697.8,0.0000
-4.4662,1697.8,0.0000
-4.3782,1697.8,0.0000
-4.3743,1697.8,0.0000
-4.2910,1697.8,0.0000
-4.2896,1697.8,0.0000
-4.2162,1697.8,0.0000
-4.2115,1697.8,0.0000
-4.1482,1697.8,0.0000
-4.0730,1697.8,0.0000
-4.0305,1697.8,0.0000
-4.0044,1697.8,0.0000
-4.0020,1697.8,0.0000
-3.9435,1697.8,0.0000
-3.9383,1697.8,0.0000
-3.8897,1697.8,0.0000
-3.8854,1697.8,0.0000
-3.8362,1697.8,0.0000
-3.8339,1697.8,0.0000
-3.8324,1697.8,0.0000
-3.7807,1697.8,0.0000
-3.7786,1697.8,0.0000
-3.7419,1697.8,0.0000
-3.5767,1697.8,0.0000
-3.4869,1697.8,0.0000
-3.3569,1697.8,0.0000
-3.3127,1697.8,0.0000
-3.2787,1697.8,0.0000
-3.2513,1697.8,0.0000
-3.2498,1697.8,0.0000
-3.1971,1697.8,0.0000
-3.1741,1697.8,0.0000
-3.1573,1697.8,0.0000
-3.1528,1697.8,0.0000
-3.1239,1697.8,0.0000
-3.1225,1697.8,0.0000
-3.0849,1697.8,0.0000
-3.0651,1697.8,0.0000
-3.0522,1697.8,0.0000
-3.0186,1697.8,0.0000
-3.0153,1697.8,0.0000
-2.9501,1697.8,0.0000
-2.9457,1697.8,0.0000
-2.9413,1697.8,0.0000
-2.9380,1697.8,0.0000
-2.9152,1697.8,0.0000
-2.8439,1697.8,0.0000
-2.8131,1697.8,0.0000
-2.7795,1697.8,0.0000
-2.7479,1697.8,0.0000
-2.7464,1697.8,0.0000
-2.7449,1697.8,0.0000
-2.7434,1697.8,0.0000
-2.7166,1697.8,0.0000
-2.6872,1697.8,0.0000
-2.6826,1697.8,0.0000
-2.6693,1697.8,0.0000
-2.6563,1697.8,0.0000
-2.6300,1697.8,0.0000
-2.6256,1697.8,0.0000
-2.6241,1697.8,0.0000
-2.5974,1697.8,0.0000
-2.5960,1697.8,0.0000
-2.5927,1697.8,0.0000
-2.5648,1697.8,0.0000
-2.5483,1697.8,0.0000
-2.5396,1697.8,0.0000
-2.5218,1697.8,0.0000
-2.5073,1697.8,0.0000
-2.4511,1697.8,0.0000
-2.4224,1697.8,0.0000
-2.3970,1697.8,0.0000
-2.3534,1697.8,0.0000
-2.3292,1697.8,0.0000
-2.3148,1697.8,0.0000
-2.2865,1697.8,0.0000
-2.2850,1697.8,0.0000
-2.2744,1697.8,0.0000
-2.2729,1697.8,0.0000
-2.2598,1697.8,0.0000
-2.2473,1697.8,0.0000
-2.2376,1697.8,0.0000
-2.2128,1697.8,0.0000
-2.2095,1697.8,0.0000
-2.1877,1697.8,0.0000
-2.1833,1697.8,0.0000
-2.1573,1697.8,0.0000
-2.1454,1697.8,0.0000
-2.1335,1697.8,0.0000
-2.1315,1697.8,0.0000
-2.1300,1697.8,0.0000
-2.0946,1697.8,0.0000
-2.0854,1697.8,0.0000
-2.0201,1697.8,0.0000
-1.9945,1697.8,0.0000
-1.9921,1697.8,0.0000
-1.9722,1697.8,0.0000
-1.9621,1697.8,0.0000
-1.9487,1697.8,0.0000
-1.9155,1697.8,0.0000
-1.8936,1697.8,0.0000
-1.8775,1697.8,0.0000
-1.8697,1697.8,0.0000
-1.8657,1697.8,0.0000
-1.8324,1697.8,0.0000
-1.8300,1697.8,0.0000
-1.8196,1697.8,0.0000
-1.7998,1697.8,0.0000
-1.7776,1697.8,0.0000
-1.7762,1697.8,0.0000
-1.7717,1697.8,0.0000
-1.7548,1697.8,0.0000
-1.6866,1697.8,0.0000
-1.6639,1697.8,0.0000
-1.6513,1697.8,0.0000
-1.6248,1697.8,0.0000
-1.6234,1697.8,0.0000
-1.5827,1697.8,0.0000
-1.5639,1697.8,0.0000
-1.5625,1697.8,0.0000
-1.5435,1697.8,0.0000
-1.5346,1697.8,0.0000
-1.4981,1697.8,0.0000
-1.4822,1697.8,0.0000
-1.4399,1697.8,0.0000
-1.3957,1697.8,0.0000
-1.3573,1697.8,0.0000
-1.3370,1697.8,0.0000
-1.3310,1697.8,0.0000
-1.3296,1697.8,0.0000
-1.3274,1697.8,0.0000
-1.2951,1697.8,0.0000
-1.2351,1697.8,0.0000
-1.2135,1697.8,0.0000
-1.1956,1697.8,0.0000
-1.1577,1697.8,0.0000
-1.1493,1697.8,0.0000
-1.1393,1697.8,0.0000
-1.1239,1697.8,0.0000
-1.1224,1697.8,0.0000
-1.1170,1697.8,0.0000
-1.0944,1697.8,0.0000
-1.0656,1697.8,0.0000
-1.0641,1697.8,0.0000
-1.0579,1697.8,0.0000
-1.0540,1697.8,0.0000
-1.0248,1697.8,0.0000
-1.0055,1697.8,0.0000
-0.9872,1697.8,0.0000
-0.9688,1697.8,0.0000
-0.9356,1697.8,0.0000
-0.9063,1697.8,0.0000
-0.8428,1697.8,0.0000
-0.8405,1697.8,0.0000
-0.8263,1697.8,0.0000
-0.7917,1697.8,0.0000
-0.7751,1697.8,0.0000
-0.7539,1697.8,0.0000
-0.7325,1697.8,0.0000
-0.6943,1697.8,0.0000
-0.6847,1697.8,0.0000
-0.6692,1697.8,0.0000
-0.6506,1697.8,0.0000
-0.6440,1697.8,0.0000
-0.6338,1697.8,0.0000
-0.6177,1697.8,0.0000
-0.5985,1697.8,0.0000
-0.5933,1697.8,0.0000
-0.5850,1697.8,0.0000
-0.5574,1697.8,0.0000
-0.4998,1697.8,0.0000
-0.4973,1697.8,0.0000
-0.4737,1697.8,0.0000
-0.4621,1697.8,0.0000
-0.4457,1697.8,0.0000
-0.4159,1697.8,0.0000
-0.4135,1697.8,0.0000
-0.3473,1697.8,0.0000
