# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
time_s,rpm,height_m
-7.4445,2520.5,0.0000
-7.4361,2520.5,0.0000
-7.3773,2520.5,0.0000
-7.3730,2520.5,0.0000
-7.3665,2520.5,0.0000
-7.3583,2520.5,0.0000
-7.3484,2520.5,0.0000
-7.3461,2520.5,0.0000
-7.3410,2520.5,0.0000
-7.3392,2520.5,0.0000
-7.3281,2520.5,0.0000
-7.3256,2520.5,0.0000
-7.3130,2520.5,0.0000
-7.2935,2520.5,0.0000
-7.2846,2520.5,0.0000
-6.6942,2520.5,0.0000
-6.6710,2520.5,0.0000
-6.6696,2520.5,0.0000
-6.6577,2520.5,0.0000
-6.6548,2520.5,0.0000
-6.6382,2520.5,0.0000
-6.5810,2520.5,0.0000
-6.5398,2520.5,0.0000
-6.5111,2520.5,0.0000
-6.5065,2520.5,0.0000
-6.4313,2520.5,0.0000
-6.4289,2520.5,0.0000
-6.3812,2520.5,0.0000
-6.3455,2520.5,0.0000
-6.2808,2520.5,0.0000
-6.2418,2520.5,0.0000
-6.2288,2520.5,0.0000
-6.2242,2520.5,0.0000
-6.2098,2520.5,0.0000
-6.1941,2520.5,0.0000
-6.0995,2520.5,0.0000
-6.0981,2520.5,0.0000
-6.0009,2520.5,0.0000
-5.9600,2520.5,0.0000
-5.9565,2520.5,0.0000
-5.9211,2520.5,0.0000
-5.9055,2520.5,0.0000
-5.9031,2520.5,0.0000
-5.8791,2520.5,0.0000
-5.8777,2520.5,0.0000
-5.7360,2520.5,0.0000
-5.7065,2520.5,0.0000
-5.7032,2520.5,0.0000
-5.6855,2520.5,0.0000
-5.6720,2520.5,0.0000
-5.6431,2520.5,0.0000
-5.6389,2520.5,0.0000
-5.5951,2520.5,0.0000
-5.5927,2520.5,0.0000
-5.5330,2520.5,0.0000
-5.4022,2520.5,0.0000
-5.2161,2520.5,0.0000
-5.1534,2520.5,0.0000
-5.1510,2520.5,0.0000
-5.0371,2520.5,0.0000
-4.9005,2520.5,0.0000
-4.8694,2520.5,0.0000
-4.7922,2520.5,0.0000
-4.7480,2520.5,0.0000
-4.7449,2520.5,0.0000
-4.6754,2520.5,0.0000
-4.6719,2520.5,0.0000
-4.6434,2520.5,0.0000
-4.6384,2520.5,0.0000
-4.5850,2520.5,0.0000
-4.5806,2520.5,0.0000
-4.5576,2520.5,0.0000
-4.5544,2520.5,0.0000
-4.5001,2520.5,0.0000
-4.4957,2520.5,0.0000
-4.4943,2520.5,0.0000
-4.4709,2520.5,0.0000
-4.4667,2520.5,0.0000
-4.4185,2520.5,0.0000
-4.3480,2520.5,0.0000
-4.3269,2520.5,0.0000
-4.3239,2520.5,0.0000
-4.3197,2520.5,0.0000
-4.2792,2520.5,0.0000
-4.1813,2520.5,0.0000
-4.1439,2520.5,0.0000
-4.1234,2520.5,0.0000
-4.0851,2520.5,0.0000
-4.0648,2520.5,0.0000
-4.0604,2520.5,0.0000
-4.0063,2520.5,0.0000
-3.9656,2520.5,0.0000
-3.9618,2520.5,0.0000
-3.9467,2520.5,0.0000
-3.9399,2520.5,0.0000
-3.8875,2520.5,0.0000
-3.8557,2520.5,0.0000
-3.8525,2520.5,0.0000
-3.8343,2520.5,0.0000
-3.7545,2520.5,0.0000
-3.7367,2520.5,0.0000
-3.7303,2520.5,0.0000
-3.7288,2520.5,0.0000
-3.7007,2520.5,0.0000
-3.6986,2520.5,0.0000
-3.6553,2520.5,0.0000
-3.6344,2520.5,0.0000
-3.6057,2520.5,0.0000
-3.6042,2520.5,0.0000
-3.5627,2520.5,0.0000
-3.5017,2520.5,0.0000
-3.4750,2520.5,0.0000
-3.4724,2520.5,0.0000
-3.4168,2520.5,0.0000
-3.3860,2520.5,0.0000
-3.3705,2520.5,0.0000
-3.3537,2520.5,0.0000
-3.3433,2520.5,0.0000
-3.3046,2520.5,0.0000
-3.2858,2520.5,0.0000
-3.2507,2520.5,0.0000
-3.2466,2520.5,0.0000
-3.2238,2520.5,0.0000
-3.1871,2520.5,0.0000
-3.1711,2520.5,0.0000
-3.1473,2520.5,0.0000
-3.1342,2520.5,0.0000
-3.1317,2520.5,0.0000
-3.1293,2520.5,0.0000
-3.1127,2520.5,0.0000
-3.1102,2520.5,0.0000
-3.0981,2520.5,0.0000
-3.0950,2520.5,0.0000
-3.0927,2520.5,0.0000
-3.0911,2520.5,0.0000
-3.0603,2520.5,0.0000
-3.0579,2520.5,0.0000
-3.0334,2520.5,0.0000
-3.0204,2520.5,0.0000
-3.0020,2520.5,0.0000
-2.9671,2520.5,0.0000
-2.9321,2520.5,0.0000
-2.8950,2520.5,0.0000
-2.8853,2520.5,0.0000
-2.8807,2520.5,0.0000
-2.8792,2520.5,0.0000
-2.8456,2520.5,0.0000
-2.8153,2520.5,0.0000
-2.7805,2520.5,0.0000
-2.7790,2520.5,0.0000
-2.7168,2520.5,0.0000
-2.6846,2520.5,0.0000
-2.6525,2520.5,0.0000
-2.6329,2520.5,0.0000
-2.5908,2520.5,0.0000
-2.5873,2520.5,0.0000
-2.5648,2520.5,0.0000
-2.5574,2520.5,0.0000
-2.5546,2520.5,0.0000
-2.5285,2520.5,0.0000
-2.5108,2520.5,0.0000
-2.4990,2520.5,0.0000
-2.4715,2520.5,0.0000
-2.4681,2520.5,0.0000
-2.4667,2520.5,0.0000
-2.4642,2520.5,0.0000
-2.4509,2520.5,0.0000
-2.4396,2520.5,0.0000
-2.4155,2520.5,0.0000
-2.4114,2520.5,0.0000
-2.4053,2520.5,0.0000
-2.3805,2520.5,0.0000
-2.3605,2520.5,0.0000
-2.3197,2520.5,0.0000
-2.2410,2520.5,0.0000
-2.2364,2520.5,0.0000
-2.2195,2520.5,0.0000
-2.2075,2520.5,0.0000
-2.1674,2520.5,0.0000
-2.1639,2520.5,0.0000
-2.1378,2520.5,0.0000
-2.1291,2520.5,0.0000
-2.1047,2520.5,0.0000
-2.0983,2520.5,0.0000
-2.0764,2520.5,0.0000
-2.0499,2520.5,0.0000
-2.0304,2520.5,0.0000
-2.0289,2520.5,0.0000
-2.0035,2520.5,0.0000
-2.0009,2520.5,0.0000
-1.9758,2520.5,0.0000
-1.9703,2520.5,0.0000
-1.9458,2520.5,0.0000
-1.9433,2520.5,0.0000
-1.9185,2520.5,0.0000
-1.9171,2520.5,0.0000
-1.9026,2520.5,0.0000
-1.8906,2520.5,0.0000
-1.8525,2520.5,0.0000
-1.8287,2520.5,0.0000
-1.8253,2520.5,0.0000
-1.8239,2520.5,0.0000
-1.8198,2520.5,0.0000
-1.7526,2520.5,0.0000
-1.7476,2520.5,0.0000
-1.7300,2520.5,0.0000
-1.7255,2520.5,0.0000
-1.7225,2520.5,0.0000
-1.7051,2520.5,0.0000
-1.6986,2520.5,0.0000
-1.6813,2520.5,0.0000
-1.6723,2520.5,0.0000
-1.6351,2520.5,0.0000
-1.6317,2520.5,0.0000
-1.6285,2520.5,0.0000
-1.5867,2520.5,0.0000
-1.5568,2520.5,0.0000
-1.5545,2520.5,0.0000
-1.5439,2520.5,0.0000
