# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Starting from 3000 RPM, the string had bad interence with the propeller and the motor did weird noises
time_s,rpm,height_m
0.0000,10.1,0.0000
0.0015,10.1,0.0000
0.0109,10.1,0.0000
0.0134,10.1,0.0000
0.0203,10.1,0.0000
0.0327,10.1,0.0000
0.0352,10.1,0.0000
0.0812,10.1,0.0000
0.0887,10.1,0.0000
0.0934,10.1,0.0000
0.1003,10.1,0.0000
0.1085,10.1,0.0000
0.1180,10.1,0.0000
0.1196,10.1,0.0000
0.1250,10.1,0.0000
0.1265,10.1,0.0000
0.1393,10.1,0.0000
0.1478,10.1,0.0000
0.1598,10.1,0.0000
0.1623,10.1,0.0000
0.1638,10.1,0.0000
0.1794,10.1,0.0000
0.1894,10.1,0.0000
0.1929,10.1,0.0000
0.1943,10.1,0.0000
0.1989,10.1,0.0000
0.2061,10.1,0.0000
0.2130,10.1,0.0054
0.2189,10.1,0.0206
0.2230,10.1,0.0388
0.2266,10.1,0.0617
0.2402,10.1,0.0863
0.2438,10.1,0.1095
0.2463,10.1,0.1313
0.2661,10.1,0.3423
0.2779,10.1,0.3072
0.2804,10.1,0.0788
0.2858,10.1,0.0000
0.2951,10.1,0.0000
0.2976,10.1,0.0000
0.3021,10.1,0.0000
0.3036,10.1,0.0000
0.3151,10.1,0.0000
0.3212,10.1,0.0000
0.6719,13.3,0.0000
0.6746,13.3,0.0000
0.6829,13.4,0.0000
0.6913,13.5,0.0000
0.7848,14.4,0.0000
1.0435,17.1,0.0000
1.0458,17.2,0.0000
1.0472,17.2,0.0000
1.0530,17.2,0.0000
1.0594,17.3,0.0000
1.0649,17.4,0.0000
1.0718,17.4,0.0000
1.0789,17.5,0.0000
1.0848,17.6,0.0000
1.0878,17.6,0.0000
1.0961,17.7,0.0000
1.2642,19.4,0.0000
1.2701,19.5,0.0000
1.2733,19.5,0.0000
1.2817,19.6,0.0000
1.2905,19.7,0.0000
1.2930,19.7,0.0000
1.3402,20.2,0.0000
1.3449,20.3,0.0000
1.3617,22.2,0.0000
1.6260,59.2,0.0000
1.6526,62.9,0.0000
1.6551,63.3,0.0000
1.6638,64.7,0.0000
1.8536,104.9,0.0000
1.8560,105.1,0.0000
2.0018,118.7,0.0000
2.0041,118.9,0.0000
2.0143,119.9,0.0000
2.0209,120.9,0.0000
2.0223,121.2,0.0000
2.0275,122.5,0.0000
2.1647,151.1,0.0000
2.2878,149.4,0.0000
2.2922,150.3,0.0000
2.4128,175.9,0.0000
2.4152,176.7,0.0000
2.4177,177.4,0.0000
2.5081,201.0,0.0000
2.5927,184.5,0.0000
2.5942,184.2,0.0000
2.6166,184.3,0.0000
2.8805,230.4,0.0000
3.1163,272.9,0.0000
3.1921,271.8,0.0000
3.2658,280.0,0.0000
3.2682,281.1,0.0000
3.5265,311.1,0.0000
3.5314,312.2,0.0000
3.5881,327.5,0.0000
3.6426,346.3,0.0000
3.7620,341.9,0.0000
3.8199,349.6,0.0000
3.8213,350.1,0.0000
3.8259,351.5,0.0000
3.8752,365.9,0.0000
3.9310,374.0,0.0000
3.9822,375.1,0.0000
4.0328,380.5,0.0000
4.1383,403.9,0.0000
4.1833,405.4,0.0000
4.1858,405.5,0.0000
4.2382,409.6,0.0000
4.2803,415.3,0.0000
4.3293,418.6,0.0000
4.3774,432.7,0.0000
4.3818,433.1,0.0000
4.4261,435.6,0.0000
4.5140,447.7,0.0000
4.5154,447.8,0.0000
4.5587,450.6,0.0000
4.5601,450.5,0.0000
4.6022,452.9,0.0000
4.6076,455.3,0.0000
4.6403,467.3,0.0000
4.6468,467.1,0.0000
4.6505,467.0,0.0000
4.6871,466.6,0.0000
4.6931,466.8,0.0000
4.7721,481.9,0.0000
4.8162,483.9,0.0000
4.8550,489.5,0.0000
4.9737,504.6,0.0000
4.9751,504.8,0.0000
5.0163,509.6,0.0000
5.0554,514.0,0.0000
5.0973,514.1,0.0000
5.1003,512.9,0.0000
5.1360,521.1,0.0000
5.1676,542.3,0.0000
5.2052,534.4,0.0000
5.2773,533.8,0.0000
5.2794,535.9,0.0000
5.3160,558.2,0.0000
5.3175,557.4,0.0000
5.3224,554.5,0.0000
5.3548,546.1,0.0000
5.3926,559.8,0.0000
5.4186,568.4,0.0000
5.4202,567.9,0.0000
5.4216,567.5,0.0000
5.4549,560.7,0.0000
5.4563,561.4,0.0000
5.4973,575.2,0.0000
5.4997,575.0,0.0000
5.5338,575.1,0.0000
5.5374,575.4,0.0000
5.5666,574.8,0.0000
5.5680,574.5,0.0000
5.5705,574.1,0.0000
5.6372,586.6,0.0000
5.6689,586.6,0.0000
5.7977,593.7,0.0000
5.8044,606.2,0.0000
5.8384,652.5,0.0000
5.8687,800.7,0.0000
5.9284,1338.5,0.0000
5.9476,1491.6,0.0000
6.2310,3045.7,0.0000
6.3087,3321.1,0.0000
6.5565,4891.2,0.0000
6.6218,2842.7,0.0000
6.7004,3122.1,0.0000
6.8816,2990.3,0.0000
7.2509,4924.8,0.0000
7.3435,2997.0,0.0000
7.3470,3607.1,0.0000
8.3156,3881.4,0.0000
8.5105,5104.9,0.0000
8.6041,4024.9,0.0000
8.7095,3881.1,0.0000
8.8408,4110.9,0.0000
8.8475,3498.2,0.0000
9.3204,4995.8,0.0000
