# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Motor did weird noises starting from 3000 RPM
time_s,rpm,height_m
-6.7189,8.2,0.0000
-6.7066,8.2,0.0000
-6.7000,8.2,0.0000
-6.6855,8.2,0.0000
-6.6840,8.2,0.0000
-6.0146,8.2,0.0000
-6.0081,8.2,0.0000
-6.0023,8.2,0.0000
-5.9999,8.2,0.0000
-5.9955,8.2,0.0000
-5.9069,21.9,0.0000
-5.7468,47.8,0.0000
-5.7390,49.2,0.0000
-5.4589,94.3,0.0000
-5.4575,94.4,0.0000
-5.3475,105.2,0.0000
-5.3441,105.4,0.0000
-5.2622,111.8,0.0000
-5.2415,113.9,0.0000
-5.2391,114.8,0.0000
-5.2357,116.0,0.0000
-5.2336,116.8,0.0000
-5.1686,140.6,0.0000
-5.1663,141.5,0.0000
-4.9918,147.4,0.0000
-4.9310,150.8,0.0000
-4.9076,156.3,0.0000
-4.8441,181.3,0.0000
-4.8408,181.8,0.0000
-4.7783,188.6,0.0000
-4.7768,188.6,0.0000
-4.7107,186.8,0.0000
-4.6562,189.7,0.0000
-4.6548,190.1,0.0000
-4.6516,191.0,0.0000
-4.5948,206.7,0.0000
-4.5883,208.6,0.0000
-4.5492,219.9,0.0000
-4.5389,220.5,0.0000
-4.5007,220.8,0.0000
-4.4993,220.9,0.0000
-4.4869,220.9,0.0000
-4.4840,221.0,0.0000
-4.4451,221.1,0.0000
-4.4344,221.5,0.0000
-4.4330,221.6,0.0000
-4.4306,221.8,0.0000
-4.4264,222.2,0.0000
-4.3759,229.2,0.0000
-4.3422,241.8,0.0000
-4.2446,252.3,0.0000
-4.2432,252.4,0.0000
-4.2325,252.1,0.0000
-4.2292,252.1,0.0000
-4.1956,251.1,0.0000
-4.1804,252.7,0.0000
-4.1415,259.3,0.0000
-4.1063,276.8,0.0000
-4.0942,278.0,0.0000
-4.0536,277.9,0.0000
-4.0466,278.1,0.0000
-4.0213,278.8,0.0000
-4.0140,278.4,0.0000
-4.0126,278.2,0.0000
-4.0097,277.9,0.0000
-4.0024,276.9,0.0000
-3.9670,276.7,0.0000
-3.9597,280.9,0.0000
-3.9299,296.6,0.0000
-3.9285,296.8,0.0000
-3.9230,297.7,0.0000
-3.8851,302.5,0.0000
-3.8818,302.5,0.0000
-3.8501,302.6,0.0000
-3.8401,302.8,0.0000
-3.8100,303.6,0.0000
-3.7726,305.5,0.0000
-3.7681,307.1,0.0000
-3.7394,317.3,0.0000
-3.7329,319.1,0.0000
-3.6600,326.3,0.0000
-3.6550,326.6,0.0000
-3.6303,328.0,0.0000
-3.6163,326.8,0.0000
-3.5911,323.5,0.0000
-3.5865,325.2,0.0000
-3.5490,344.6,0.0000
-3.5469,345.0,0.0000
-3.5446,345.4,0.0000
-3.4538,349.9,0.0000
-3.4502,349.3,0.0000
-3.4487,348.9,0.0000
-3.4370,345.7,0.0000
-3.4182,340.5,0.0000
-3.4135,343.2,0.0000
-3.4035,352.5,0.0000
-3.3823,370.2,0.0000
-3.3799,370.1,0.0000
-3.3436,369.4,0.0000
-3.3152,370.9,0.0000
-3.2824,370.7,0.0000
-3.2811,370.8,0.0000
-3.2786,371.0,0.0000
-3.2527,373.7,0.0000
-3.2513,374.1,0.0000
-3.2430,376.6,0.0000
-3.2415,377.1,0.0000
-3.2175,384.1,0.0000
-3.2089,386.5,0.0000
-3.1824,389.8,0.0000
-3.1474,388.5,0.0000
-3.1197,391.7,0.0000
-3.1182,392.0,0.0000
-3.0934,397.4,0.0000
-3.0637,403.9,0.0000
-3.0612,404.3,0.0000
-3.0579,404.7,0.0000
-3.0564,404.9,0.0000
-3.0371,407.1,0.0000
-3.0315,407.1,0.0000
-3.0285,407.1,0.0000
-3.0036,407.1,0.0000
-2.9976,407.1,0.0000
-2.9732,409.8,0.0000
-2.9510,416.1,0.0000
-2.9103,423.9,0.0000
-2.8693,413.7,0.0000
-2.8657,414.4,0.0000
-2.8607,417.5,0.0000
-2.8588,418.6,0.0000
-2.8318,430.8,0.0000
-2.8137,432.0,0.0000
-2.8065,432.9,0.0000
-2.7816,435.9,0.0000
-2.7749,435.9,0.0000
-2.7541,439.2,0.0000
-2.7522,441.3,0.0000
-2.7269,460.2,0.0000
-2.6992,443.3,0.0000
-2.5964,451.6,0.0000
-2.5908,453.5,0.0000
-2.5686,461.6,0.0000
-2.5672,462.4,0.0000
-2.5604,466.2,0.0000
-2.5350,473.8,0.0000
-2.5122,475.1,0.0000
-2.5098,475.4,0.0000
-2.4855,477.2,0.0000
-2.4677,477.0,0.0000
-2.4644,476.9,0.0000
-2.4589,476.6,0.0000
-2.4427,476.2,0.0000
-2.4413,476.3,0.0000
-2.3896,489.4,0.0000
-2.3679,491.4,0.0000
-2.3365,495.3,0.0000
-2.3179,494.3,0.0000
-2.3165,494.4,0.0000
-2.2874,496.5,0.0000
-2.2703,500.0,0.0000
-2.2688,500.6,0.0000
-2.2617,503.7,0.0000
-2.2602,504.4,0.0000
-2.2178,510.5,0.0000
-2.1965,512.0,0.0000
-2.1923,512.0,0.0000
-2.1788,512.2,0.0000
-2.1705,512.6,0.0000
-2.1458,516.2,0.0000
-2.1287,519.1,0.0000
-2.0771,530.3,0.0000
-2.0413,528.1,0.0000
-2.0399,528.8,0.0000
-2.0115,535.3,0.0000
-1.9940,534.4,0.0000
-1.9700,540.6,0.0000
-1.9643,541.0,0.0000
-1.9450,544.2,0.0000
-1.9051,534.8,0.0000
-1.8790,563.2,0.0000
-1.8600,552.2,0.0000
-1.8562,553.0,0.0000
-1.8148,564.1,0.0000
-1.8134,564.2,0.0000
-1.7697,557.9,0.0000
-1.7551,556.1,0.0000
-1.7515,560.3,0.0000
-1.7501,561.9,0.0000
-1.7465,566.0,0.0000
-1.7278,573.1,0.0000
-1.7088,574.5,0.0000
-1.6680,579.4,0.0000
-1.6666,580.5,0.0000
-1.6065,584.1,0.0000
-1.5690,591.2,0.0000
-1.5444,588.5,0.0000
-1.5420,587.1,0.0000
-1.5231,596.2,0.0000
-1.5092,609.8,0.0000
-1.5068,609.3,0.0000
-1.5040,608.8,0.0000
-1.4866,604.3,0.0000
-1.4672,600.0,0.0000
-1.4501,602.6,0.0000
-1.4432,605.1,0.0000
-1.4402,606.3,0.0000
-1.4291,609.6,0.0000
-1.4266,610.1,0.0000
-1.4243,610.5,0.0000
-1.4102,615.4,0.0000
-1.3833,657.3,0.0000
-1.3646,729.6,0.0000
-1.3507,803.2,0.0000
-1.3382,874.1,0.0000
-1.3350,892.2,0.0000
-1.2446,1376.5,0.0000
-1.2397,1465.5,0.0000
-1.2233,1566.3,0.0000
-1.2043,1879.3,0.0000
-1.1440,2026.0,0.0000
-1.1172,2137.1,0.0000
-1.0903,2227.4,0.0000
-1.0851,2251.0,0.0000
-1.0436,2113.0,0.0000
-0.7718,3710.1,0.0000
-0.7220,3888.1,0.0000
-0.6295,4431.3,0.0000
-0.6014,4579.7,0.0000
-0.5862,4477.8,0.0000
