# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Kept interfering with string for all RPMs for unknown reasons.
time_s,rpm,height_m
-2.6372,496.1,0.0000
-0.5247,496.1,0.0000
-0.4831,496.1,0.0000
-0.4652,496.1,0.0000
-0.4629,496.1,0.0000
-0.4254,496.1,0.0000
-0.4035,496.1,0.0000
-0.0566,496.1,0.0000
-0.0375,496.1,0.0000
-0.0361,496.1,0.0000
-0.0330,496.1,0.0000
-0.0287,496.1,0.0000
-0.0252,496.1,0.0000
-0.0166,496.1,0.0000
-0.0143,496.1,0.0000
0.0000,496.1,0.0000
0.3498,496.1,0.0137
0.3520,496.1,0.0258
0.3563,496.1,0.0345
0.3593,496.1,0.0345
0.3636,496.1,0.0249
0.3684,496.1,0.0214
0.3709,496.1,0.0150
0.3796,496.1,0.0069
0.3877,496.1,0.0000
0.5458,496.1,0.0000
0.5699,496.1,0.0000
0.5885,496.1,0.0000
0.5958,496.1,0.0000
0.7429,496.1,0.0000
0.7485,496.1,0.0000
1.0170,496.1,0.0000
1.0518,496.1,0.0000
1.1539,496.1,0.0000
1.1678,496.1,0.0000
1.1693,496.1,0.0000
1.2581,496.1,0.0000
1.2604,496.1,0.0000
1.3740,496.1,0.0000
1.3764,496.1,0.0000
1.4585,496.1,0.0000
1.4618,496.1,0.0000
1.4696,496.1,0.0000
1.5528,496.1,0.0000
1.5594,496.1,0.0000
1.6425,496.1,0.0000
1.6486,496.1,0.0000
1.6533,496.1,0.0000
1.7293,496.1,0.0000
1.7317,496.1,0.0000
1.7335,496.1,0.0000
1.7358,496.1,0.0000
1.8868,496.1,0.0000
1.8930,496.1,0.0000
2.0329,496.1,0.0000
2.0412,496.1,0.0000
2.0434,496.1,0.0000
2.0468,496.1,0.0000
2.0493,496.1,0.0000
2.1674,496.1,0.0000
2.1744,496.1,0.0000
2.2291,496.1,0.0000
2.4214,496.1,0.0000
2.4229,496.1,0.0000
2.6516,496.1,0.0000
2.9640,496.1,0.0000
2.9654,496.1,0.0000
3.0357,496.1,0.0000
3.0380,496.1,0.0000
3.0423,496.1,0.0000
3.0570,496.1,0.0000
3.1020,496.1,0.0000
3.1043,496.1,0.0000
3.1105,496.1,0.0000
3.1135,496.1,0.0000
3.2039,496.1,0.0000
3.2063,496.1,0.0000
3.2394,496.1,0.0000
3.2414,496.1,0.0000
3.2849,496.1,0.0000
3.2882,496.1,0.0000
3.2895,496.1,0.0000
3.2939,496.1,0.0000
