# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: At 5500 and 6000 slight intereference from string
time_s,rpm,height_m
-3.5021,52.8,0.0000
-3.4931,52.8,0.0000
-3.4885,52.8,0.0000
-3.2847,67.2,0.0000
-3.2794,68.2,0.0000
-3.2755,68.8,0.0000
-3.1782,86.3,0.0000
-2.9912,110.1,0.0000
-2.9879,109.9,0.0000
-2.8558,125.4,0.0000
-2.7991,140.9,0.0000
-2.7599,142.4,0.0000
-2.6631,152.5,0.0000
-2.6529,154.5,0.0000
-2.6507,154.9,0.0000
-2.6489,155.2,0.0000
-2.5717,169.3,0.0000
-2.5692,169.8,0.0000
-2.4779,176.9,0.0000
-2.3942,187.0,0.0000
-2.3234,196.1,0.0000
-2.2487,209.4,0.0000
-2.1821,216.5,0.0000
-2.1774,216.4,0.0000
-2.1163,225.4,0.0000
-2.1108,226.9,0.0000
-2.0530,233.4,0.0000
-1.8690,255.4,0.0000
-1.8666,255.5,0.0000
-1.7560,273.9,0.0000
-1.7018,277.8,0.0000
-1.7004,277.8,0.0000
-1.6495,287.0,0.0000
-1.6460,288.0,0.0000
-1.6445,288.4,0.0000
-1.6029,293.8,0.0000
-1.4952,305.7,0.0000
-1.4498,308.9,0.0000
-1.4451,308.7,0.0000
-1.4043,315.8,0.0000
-1.3945,318.6,0.0000
-1.3525,326.8,0.0000
-1.3088,330.2,0.0000
-1.2609,332.7,0.0000
-1.2579,332.9,0.0000
-1.2196,342.2,0.0000
-1.2132,344.1,0.0000
-1.1351,346.6,0.0000
-1.1312,346.4,0.0000
-1.0502,364.2,0.0000
-1.0449,364.6,0.0000
-0.9277,380.6,0.0000
-0.9244,381.4,0.0000
-0.9229,381.8,0.0000
-0.8916,374.5,0.0000
-0.8829,371.3,0.0000
-0.8490,380.6,0.0000
-0.8459,382.0,0.0000
-0.8425,383.6,0.0000
-0.8132,403.0,0.0000
-0.7776,405.1,0.0000
-0.7017,398.3,0.0000
-0.6967,400.3,0.0000
-0.6602,422.5,0.0000
-0.6588,423.4,0.0000
-0.5891,423.5,0.0000
-0.4803,433.6,0.0000
-0.4515,434.0,0.0000
-0.4491,434.0,0.0000
-0.4441,434.1,0.0000
-0.4136,444.7,0.0000
-0.3821,450.7,0.0000
-0.3177,446.4,0.0000
-0.2841,464.8,0.0000
-0.2781,469.8,0.0000
-0.2202,470.6,0.0000
-0.2188,471.5,0.0000
-0.1587,472.6,0.0000
-0.1554,472.6,0.0000
-0.1530,472.6,0.0000
-0.1494,472.6,0.0000
-0.1254,484.3,0.0000
-0.1204,486.9,0.0000
-0.0883,480.7,0.0000
-0.0652,477.5,0.0000
-0.0629,477.3,0.0000
-0.0604,477.0,0.0000
-0.0560,476.4,0.0000
-0.0283,506.1,0.0000
-0.0234,509.1,0.0000
-0.0014,498.7,0.0000
0.0000,498.0,0.0000
0.0033,496.4,0.0400
0.0288,496.3,0.0646
0.0336,496.4,0.0738
0.0593,501.3,0.0673
0.0939,497.8,0.0448
0.1755,517.7,0.0060
0.1780,518.0,0.0000
0.2076,520.4,0.0000
0.2123,520.9,0.0000
0.2377,524.8,0.0000
0.2905,532.0,0.0000
0.2929,532.0,0.0000
0.3741,544.7,0.0000
0.3808,544.9,0.0000
0.4280,545.9,0.0000
0.5118,541.0,0.0000
0.5373,576.3,0.0000
0.5652,570.3,0.0000
0.5698,569.2,0.0000
0.5909,572.4,0.0000
0.6414,573.7,0.0000
0.6482,575.0,0.0000
0.6922,586.2,0.0000
0.6998,586.3,0.0000
0.7457,587.4,0.0000
0.7640,591.4,0.0000
0.7948,598.4,0.0000
0.7963,598.8,0.0000
0.8449,598.5,0.0000
0.8715,610.1,0.0000
0.8770,611.3,0.0000
0.8997,615.8,0.0000
0.9011,620.3,0.0000
0.9182,672.4,0.0000
0.9376,796.6,0.0000
0.9601,1031.5,0.0000
0.9860,1329.7,0.0000
0.9979,1417.0,0.0000
0.9994,1431.1,0.0000
1.0039,1479.0,0.0000
1.0084,1530.5,0.0000
1.0299,1746.6,0.0000
1.0832,2297.3,0.0000
1.2027,2723.0,0.0000
1.4896,5660.9,0.0000
1.6146,2910.9,0.0000
2.2498,4146.7,0.0000
2.2607,4641.5,0.0000
2.3577,3535.4,0.0000
2.3679,4604.7,0.0000
2.4394,5215.5,0.0046
2.8184,3594.4,0.0438
3.0247,5054.5,0.0853
3.1219,4881.1,0.0917
3.1247,3470.7,0.1321
3.1462,5745.7,0.2295
3.2362,5116.4,0.2872
3.4130,5339.6,0.3016
3.5499,5697.0,0.3118
3.7287,5696.9,0.3020
4.4980,3008.5,0.2759
4.4995,2987.3,0.2292
4.5073,3894.7,0.1635
4.5276,5392.6,0.0808
4.5355,2387.9,0.0657
4.6923,4876.8,0.0964
4.7444,3041.9,0.0905
4.8257,2843.9,0.0857
5.0251,2997.4,0.0826
5.0920,5810.4,0.0820
5.3152,4109.4,0.0845
5.7758,5619.9,0.0845
5.8029,5379.0,0.0845
6.0353,2998.8,0.0845
6.0941,1679.2,0.0845
6.1368,4838.4,0.0837
6.1552,4240.7,0.0839
6.1791,3384.2,0.0849
6.4172,3060.1,0.0865
6.7717,4148.3,0.0885
6.8021,5745.7,0.0906
6.9368,3187.0,0.0925
7.0285,4912.9,0.0941
7.0959,2873.4,0.0952
7.1802,5363.0,0.0954
