# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Strong interferenece with the string for all runs with this propeller, I wouldn't really trust the data
time_s,rpm,height_m
-5.6342,103.6,0.0000
-2.0600,103.6,0.0000
-2.0586,103.6,0.0000
-2.0572,103.6,0.0000
-2.0450,103.6,0.0000
-2.0365,103.6,0.0000
-1.8611,103.6,0.0000
-1.8482,103.6,0.0000
-1.8456,103.5,0.0000
-1.8443,103.3,0.0000
-1.8399,102.8,0.0000
-1.8327,101.9,0.0000
-1.3739,45.6,0.0000
-1.3115,38.0,0.0000
-1.3081,37.6,0.0000
-1.2912,39.0,0.0000
-1.2899,39.4,0.0000
-1.0996,91.6,0.0000
-1.0949,92.8,0.0000
-1.0915,93.8,0.0000
-1.0865,94.9,0.0000
-1.0837,95.4,0.0000
-0.9295,121.1,0.0000
-0.9137,120.9,0.0000
-0.6345,156.4,0.0000
-0.4708,160.7,0.0000
-0.3739,201.9,0.0000
-0.3695,201.4,0.0000
-0.2690,191.1,0.0000
0.0000,233.9,0.0000
0.1661,245.5,0.0290
0.1675,246.1,0.0565
0.2457,272.0,0.0790
0.3193,272.5,0.0933
0.5197,296.3,0.0963
0.5229,296.5,0.0845
0.5259,296.7,0.0845
0.5881,304.3,0.0686
0.5911,305.5,0.0893
0.6526,323.0,0.1046
0.6555,322.9,0.1147
0.8331,344.6,0.1197
0.9450,361.2,0.1200
0.9502,361.1,0.1157
1.0570,364.3,0.1071
1.0595,364.9,0.0944
1.1097,377.6,0.0779
1.1141,378.6,0.0577
1.1623,387.1,0.0745
1.1657,387.2,0.0745
1.2111,391.0,0.0745
1.3611,407.9,0.0745
1.4109,417.0,0.0745
1.4590,419.0,0.0745
1.4621,419.4,0.0745
1.5514,436.3,0.0745
1.5549,436.0,0.0745
1.5998,436.3,0.0745
1.6429,442.6,0.0745
1.6452,442.7,0.0745
1.7734,461.9,0.0745
1.9050,479.2,0.0745
1.9432,483.8,0.0745
1.9491,483.8,0.0737
2.0265,494.1,0.0739
2.0307,494.4,0.0741
2.1422,517.3,0.0759
2.1866,514.5,0.0789
2.1880,514.5,0.0826
2.1909,514.4,0.0781
2.2232,516.1,0.1023
2.2617,523.3,0.1110
2.3348,532.5,0.1063
2.3734,532.8,0.0907
2.3757,532.4,0.0686
2.3786,531.8,0.0417
2.4160,532.5,0.0147
2.4462,546.8,0.0000
2.4848,565.0,0.0000
2.5594,555.3,0.0000
2.5959,564.8,0.0000
2.6651,573.6,0.0000
2.7264,577.6,0.0000
2.7352,584.8,0.0000
2.7642,595.1,0.0000
2.7657,594.6,0.0000
2.8017,590.8,0.0000
2.8338,593.7,0.0000
2.8353,593.6,0.0000
2.8387,593.2,0.0245
2.8674,598.3,0.0590
2.9661,635.1,0.0942
2.9695,641.8,0.1260
2.9979,809.1,0.1500
3.0000,829.5,0.1622
3.0213,1013.8,0.1659
3.0414,1091.5,0.1652
3.0553,1267.5,0.1510
3.0568,1288.2,0.1365
3.0674,1388.8,0.1189
3.0833,1448.7,0.1094
3.1101,1572.9,0.0895
3.1135,1515.5,0.0637
3.1150,1469.7,0.0368
3.2052,2209.5,0.0134
3.2067,2213.2,0.0000
3.3925,2261.0,0.0000
3.6925,2349.7,0.0000
3.8835,3176.0,0.0000
3.8918,3030.6,0.0000
3.9417,3015.6,0.0000
3.9506,3731.3,0.0000
3.9912,3962.6,0.0000
4.0373,3955.9,0.0000
4.0576,4031.1,0.0000
4.0966,2925.6,0.0000
4.1112,2628.7,0.0000
4.1421,3986.4,0.0000
4.1940,2996.7,0.0000
4.2684,3491.0,0.0000
4.2858,1234.7,0.0000
4.3241,2997.0,0.0000
4.4415,3994.8,0.0000
4.4712,4002.9,0.0000
4.5018,3994.3,0.0000
4.6466,2485.4,0.0293
4.6721,2368.0,0.0642
4.7038,3046.5,0.0948
4.7203,4020.3,0.1175
4.7912,3985.2,0.1286
4.8474,3947.3,0.1242
4.8626,1581.4,0.1262
4.8723,4048.0,0.1362
4.9711,3993.9,0.1248
5.0371,4045.3,0.1073
5.1808,2562.8,0.0828
5.2111,4044.1,0.0551
5.2228,3147.6,0.0240
5.2324,3329.9,0.0000
5.2708,4003.8,0.0000
5.3126,1840.7,0.0000
5.3820,4037.7,0.0000
5.4213,2439.0,0.0000
5.4460,3971.8,0.0000
5.4649,4061.2,0.0000
5.5518,3248.2,0.0000
5.5769,3995.2,0.0000
5.5970,3952.6,0.0000
5.6024,3178.9,0.0000
5.6167,4037.1,0.0000
5.6222,3873.3,0.0000
5.8465,2541.4,0.0000
5.9080,3052.7,0.0000
5.9679,2959.4,0.0000
5.9965,3386.0,0.0000
6.0353,3564.0,0.0000
6.0378,3058.5,0.0000
6.0562,3975.3,0.0000
6.1707,1522.2,0.0000
6.1957,2448.9,0.0000
6.2418,3782.5,0.0000
6.2575,3070.1,0.0000
6.2995,3996.0,0.0000
6.3194,4045.3,0.0000
6.3290,3961.1,0.0000
6.3716,1570.7,0.0000
6.4308,3975.6,0.0000
6.4515,3852.8,0.0000
6.4622,3223.5,0.0211
6.5138,3813.6,0.0546
6.5672,3083.4,0.0866
6.5687,2781.3,0.1140
6.5749,2928.9,0.1339
6.6009,2340.0,0.1431
6.6699,2529.8,0.1388
6.6797,4203.9,0.1177
6.8358,4043.4,0.1130
6.8603,3990.9,0.1114
6.8658,4038.1,0.1137
6.8795,3552.4,0.1145
6.9322,3009.2,0.1145
6.9419,1997.6,0.1145
6.9539,3669.3,0.1145
6.9906,4012.6,0.1145
6.9952,4035.7,0.1145
7.0104,3979.9,0.1263
7.0659,3837.6,0.1233
7.0970,2984.8,0.1090
7.2506,3861.0,0.0865
7.2805,3961.2,0.0590
7.3090,3938.4,0.0300
7.3233,4156.1,0.0026
7.3383,4018.4,0.0000
7.3401,4073.0,0.0000
7.4356,3216.4,0.0000
7.4507,3226.4,0.0000
7.4541,2523.1,0.0000
7.5044,1527.9,0.0000
7.5096,1883.8,0.0000
7.5290,1664.1,0.0000
7.6062,2253.2,0.0000
7.6311,3084.0,0.0000
7.6748,4018.4,0.0000
7.6801,3848.6,0.0127
7.6942,1709.2,0.0316
7.7299,3989.5,0.0479
7.7397,4068.1,0.0599
7.8579,3942.5,0.0659
8.0128,4005.2,0.0643
8.1385,3483.5,0.0535
8.1541,4036.0,0.0319
8.1888,4020.6,0.0445
8.2040,3997.5,0.0445
8.3297,3120.0,0.0445
