# filter: rolling_min_window=15, savgol_window=11, savgol_polyorder=3, dist_min_cm=2, max_dist_m=2.6, str_min=100, str_max=5000, launch_threshold_m=0.05, launch_sustain=5, rpm_outlier_iqr_k=1.5
# comment: Slight interence from string and starting from 5500 RPMs weird motor noises
time_s,rpm,height_m
-6.6009,4020.9,0.0000
-6.1145,4020.9,0.0000
-5.9824,4020.9,0.0000
-5.9730,4020.9,0.0000
-5.9696,4020.9,0.0000
-5.9576,4020.9,0.0000
-5.9518,4020.9,0.0000
-5.9494,4020.9,0.0000
-5.9380,4020.9,0.0000
-5.9356,4020.9,0.0000
-5.9341,4020.9,0.0000
-5.9100,4020.9,0.0000
-5.9065,4020.9,0.0000
-5.9031,4020.9,0.0000
-5.8746,4020.9,0.0000
-5.8711,4020.9,0.0000
-5.7704,4020.9,0.0000
-5.7680,4020.9,0.0000
-5.7506,4020.9,0.0000
-5.7389,4020.9,0.0000
-5.7231,4020.9,0.0000
-5.7137,4020.9,0.0000
-5.6522,4020.9,0.0000
-5.6455,4020.9,0.0000
-5.6188,4020.9,0.0000
-5.6164,4020.9,0.0000
-5.6095,4020.9,0.0000
-5.6076,4020.9,0.0000
-5.5830,4020.9,0.0000
-5.5758,4020.9,0.0000
-5.5646,4020.9,0.0000
-5.5631,4020.9,0.0000
-5.5350,4020.9,0.0000
-5.4876,4020.9,0.0000
-5.4318,4020.9,0.0000
-5.4304,4020.9,0.0000
-5.4209,4020.9,0.0000
-5.4185,4020.9,0.0000
-5.3737,4020.9,0.0000
-5.3084,4020.9,0.0000
-5.2905,4020.9,0.0000
-5.2806,4020.9,0.0000
-5.2713,4020.9,0.0000
-5.2657,4020.9,0.0000
-5.2434,4020.9,0.0000
-5.2327,4020.9,0.0000
-5.2169,4020.9,0.0000
-5.2094,4020.9,0.0000
-5.1865,4020.9,0.0000
-5.1835,4020.9,0.0000
-5.1811,4020.9,0.0000
-5.1541,4020.9,0.0000
-5.1374,4020.9,0.0000
-5.1201,4020.9,0.0000
-5.1024,4020.9,0.0000
-5.0981,4020.9,0.0000
-5.0792,4020.9,0.0000
-5.0731,4020.9,0.0000
-5.0648,4020.9,0.0000
-5.0563,4020.9,0.0000
-5.0512,4020.9,0.0000
-4.9325,4020.9,0.0000
-4.9288,4020.9,0.0000
-4.8849,4020.9,0.0000
-4.8829,4020.9,0.0000
-4.8728,4020.9,0.0000
-4.8712,4020.9,0.0000
-4.8669,4020.9,0.0000
-4.5173,4020.9,0.0000
-4.5109,4020.9,0.0000
-4.3047,4020.9,0.0000
-4.1400,4020.9,0.0000
-4.1330,4020.9,0.0000
-4.0027,4020.9,0.0000
-3.9988,4020.9,0.0000
-3.8624,4020.9,0.0000
-3.7317,4020.9,0.0000
-3.6326,4020.9,0.0000
-3.5295,4020.9,0.0000
-3.5251,4020.9,0.0000
-3.5216,4020.9,0.0000
-3.4314,4020.9,0.0000
-3.3403,4020.9,0.0000
-3.3359,4020.9,0.0000
-3.2705,4020.9,0.0000
-3.2675,4020.9,0.0000
-3.2620,4020.9,0.0000
-3.2553,4020.9,0.0000
-3.1783,4020.9,0.0000
-3.1769,4020.9,0.0000
-3.1725,4020.9,0.0000
-3.0927,4020.9,0.0000
-3.0224,4020.9,0.0000
-3.0145,4020.9,0.0000
-2.8886,4020.9,0.0000
-2.8775,4020.9,0.0000
-2.8731,4020.9,0.0000
-2.8074,4020.9,0.0000
-2.7365,4020.9,0.0000
-2.7351,4020.9,0.0000
-2.7335,4020.9,0.0000
-2.6813,4020.9,0.0000
-2.6712,4020.9,0.0000
-2.6159,4020.9,0.0000
-2.5594,4020.9,0.0000
-2.4933,4020.9,0.0000
-2.4385,4020.9,0.0000
-2.4303,4020.9,0.0000
-2.4257,4020.9,0.0000
